,KMT
Price/Earnings (TTM),16.34734
Price/Sales (TTM),1.06706
Price/Book (MRQ),1.80733
Price/Cash Flow (TTM),7.88114
5yr Low,14.45
5yr High,52.52
5yr Avg Return,-0.06965
EPS Growth 5yr,0.2326616
Revenue Growth 5yr,-0.0045014
Dividend Growth 5yr,0.0
Short Int Current Month,4515006.0
Short Int Prev Month,5327564.0
Short Int Pct of Float,0.0565457
Days to Cover,4.43921
Float,79.87885
Shares Outstanding,80.57639
Institutions Holding Shares,275.0
% Held by Institutions,1.051848
FCF Growth 5yr,0.24440340657270054
