,KMT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.35,24.01,Valuation,0.6809662640566431
Price/Sales (TTM),1.07,3.06,Valuation,0.3496732026143791
Price/Book (MRQ),1.81,7.44,Valuation,0.24327956989247312
"PEG Ratio (TTM, GAAP)",4.54,1.49,Valuation,3.046979865771812
Gross Profit Margin (TTM),0.3221,0.32799999999999996,Profitability,0.9820121951219514
Operating Profit Margin (TTM),0.1048,0.0198,Profitability,5.292929292929292
Net Profit Margin (TTM),0.0702,-0.0086,Profitability,-8.162790697674419
Annual Dividend Yield,0.029900000000000003,0.0143,Dividend,2.0909090909090913
Dividend Change %,0.0,0.1666,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0885,Dividend,0.0
EPS Growth (MRQ),-0.3174,0.3518,Gowth rates,-0.9022171688459353
EPS Growth (TTM),0.2354,0.16149999999999998,Gowth rates,1.4575851393188857
Revenue Growth (MRQ),-0.0665,0.196,Gowth rates,-0.3392857142857143
Revenue Growth (TTM),0.051500000000000004,0.1475,Gowth rates,0.3491525423728814
Return On Equity (TTM),0.1082,0.2859,Effectiveness,0.3784540048968171
Return On Assets (TTM),0.0555,0.0851,Effectiveness,0.6521739130434783
Return On Investment (TTM),0.0683,0.12490000000000001,Effectiveness,0.5468374699759807
Revenue Per Employee (TTM),231761.0,343373.0,Effectiveness,0.6749540587058388
Total Debt/Total Capital (MRQ),0.3544,0.6352000000000001,Financial strength,0.5579345088161208
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.0189,Financial strength,0.10052910052910052
Quick Ratio (MRQ),0.84,1.07,Financial strength,0.7850467289719626
Interest Coverage (MRQ),7.34,20.9,Financial strength,0.35119617224880384
