,FOCS
Price/Earnings (TTM),25.65628
Price/Sales (TTM),1.41944
Price/Book (MRQ),2.81405
Price/Cash Flow (TTM),7.44814
5yr Low,12.17
5yr High,69.13
5yr Avg Return,0.07016
EPS Growth 5yr,-0.064414
Revenue Growth 5yr,0.2993548
Dividend Growth 5yr,
Short Int Current Month,2233794.0
Short Int Prev Month,2446763.0
Short Int Pct of Float,0.0384831
Days to Cover,5.48162
Float,58.04612
Shares Outstanding,77.51963
Institutions Holding Shares,264.0
% Held by Institutions,0.9901420000000001
FCF Growth 5yr,-5.5457249993292015
