,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,49.52,40.36,47.18,69.13,62.24,,,,,
low,22.61,19.05,12.17,40.93,30.27,,,,,
change,-0.2666,0.1343,0.4632,0.3713,-0.3514,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,311.0,317.0,221.0,129.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,202.0,213.0,211.0,212.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-3.0,-4.0,-4.0,-4.0,Balance Sheet
"Total Receivables, Net",,,,,,199.0,209.0,207.0,208.0,Balance Sheet
Prepaid Expenses,,,,,,124.0,162.0,166.0,174.0,Balance Sheet
Total Current Assets,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,297.0,303.0,302.0,308.0,Balance Sheet
"Goodwill, Gross",,,,,,1948.0,1278.0,1948.0,1948.0,Balance Sheet
Accum. Goodwill Amort.,,,,,,-23.0,-23.0,-23.0,-23.0,Balance Sheet
"Goodwill, Net",,,,,,1925.0,1928.0,2050.0,2093.0,Balance Sheet
Intangibles - Gross,,,,,,2431.0,2435.0,2597.0,2674.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-849.0,-910.0,-972.0,-1036.0,Balance Sheet
Intangibles - Net,,,,,,1582.0,1525.0,1625.0,1638.0,Balance Sheet
Deferred Charges,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,267.0,258.0,236.0,232.0,Balance Sheet
Total Assets,,,,,,4709.0,4706.0,4811.0,4785.0,Balance Sheet
Accounts Payable,,,,,,12.0,15.0,16.0,12.0,Balance Sheet
Accrued Expenses,,,,,,350.0,361.0,376.0,395.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,106.0,29.0,54.0,67.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,2394.0,2438.0,2483.0,2427.0,Balance Sheet
Total Debt,,,,,,2394.0,2438.0,2483.0,2427.0,Balance Sheet
Deferred Income Tax,,,,,,32.0,37.0,36.0,39.0,Balance Sheet
Minority Interest,,,,,,247.0,241.0,235.0,228.0,Balance Sheet
"Other Liabilities, Total",,,,,,699.0,645.0,598.0,557.0,Balance Sheet
Total Liabilities,,,,,,3838.0,3765.0,3797.0,3726.0,Balance Sheet
Common Stock,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,842.0,866.0,910.0,930.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,25.0,54.0,87.0,116.0,Balance Sheet
"Other Equity, Total",,,,,,3.0,20.0,16.0,11.0,Balance Sheet
Total Equity,,,,,,871.0,941.0,1014.0,1059.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,4709.0,4706.0,4811.0,4785.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,65.0,65.0,65.0,65.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,11.0,12.0,12.0,11.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,77.0,77.0,77.0,77.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
