,ZETA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),3.18,9.39,Valuation,0.33865814696485624
Price/Book (MRQ),16.02,12.63,Valuation,1.2684085510688834
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6395000000000001,0.7206,Profitability,0.8874548986955316
Operating Profit Margin (TTM),-0.49479999999999996,0.2172,Profitability,-2.2780847145488026
Net Profit Margin (TTM),-0.5241,0.1553,Profitability,-3.374758531873793
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.21960000000000002,-0.0752,Gowth rates,-2.920212765957447
EPS Growth (TTM),-1.1301,-0.2824,Gowth rates,4.001770538243627
Revenue Growth (MRQ),0.10890000000000001,0.15560000000000002,Gowth rates,0.6998714652956298
Revenue Growth (TTM),0.25739999999999996,0.1906,Gowth rates,1.3504721930745014
Return On Equity (TTM),-3.5007,0.2189,Effectiveness,-15.99223389675651
Return On Assets (TTM),-0.7261,0.10740000000000001,Effectiveness,-6.76070763500931
Return On Investment (TTM),-1.0144,0.1387,Effectiveness,-7.313626532083634
Revenue Per Employee (TTM),384008.0,667721.0,Effectiveness,0.5751024754350994
Total Debt/Total Capital (MRQ),0.6276,0.39659999999999995,Financial strength,1.5824508320726176
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0004,Financial strength,-4.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-53.67,0.28,Financial strength,-191.67857142857142
