,ZETA
% Above Low,1.0709
% Held by Institutions,0.5740999999999999
52-Wk Range,['4.09 - 13.46']
Annual Dividend $,
Annual Dividend %,
Ask,10.57
Ask Size,10200.0
B/A Ratio,0.00980392156862745
B/A Size,100x10200
Beta,
Bid,7.92
Bid Size,100.0
Closing Price,8.47
Day Change $,-0.06
Day Change %,-0.006999999999999999
Day High,8.54
Day Low,8.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.37
Ex-dividend Date,No dividend
Historical Volatility,0.868
Last (size),621.0
Last (time),7:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.53
Short Interest,0.0736
Today's Open,8.45
Volume,630750.0
Volume 10-day Avg,870941.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.75
Growth 2yr High Est,0.6818181818181819
Growth 2yr Consensus Est,0.7159090909090909
Growth 5yr Low Est,0.75
Growth 5yr High Est,0.6818181818181819
Growth 5yr Consensus Est,0.7159090909090909
Growth 5yr Actual/Est,1.6411764705882352
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.20063
Price/Book (MRQ),16.13739
Price/Cash Flow (TTM),
5yr Low,4.09
5yr High,13.46
5yr Avg Return,-0.03215
Short Int Current Month,8328793.0
Short Int Prev Month,9828546.0
Short Int Pct of Float,0.07355450000000001
Days to Cover,5.55967
Float,159.9215
Shares Outstanding,206.6215
Institutions Holding Shares,161.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6395000000000001
Operating Profit Margin (TTM),-0.49479999999999996
Net Profit Margin (TTM),-0.5241
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.21960000000000002
EPS Growth (TTM),-1.1301
Revenue Growth (MRQ),0.10890000000000001
Revenue Growth (TTM),0.25739999999999996
Return On Equity (TTM),-3.5007
Return On Assets (TTM),-0.7261
Return On Investment (TTM),-1.0144
Revenue Per Employee (TTM),384008.0
Total Debt/Total Capital (MRQ),0.6276
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),-53.67
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-04 00:00:00
theStreet since,2022-08-04 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
