,JCI
% Below High,0.1825
% Held by Institutions,0.9638
52-Wk Range,['45.52 - 81.77']
Annual Dividend $,1.4
Annual Dividend %,0.0209
Ask,68.25
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,65.0
Bid Size,200.0
Closing Price,66.85
Day Change $,-0.1
Day Change %,-0.0015
Day High,67.31
Day Low,66.72
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2022-09-23 00:00:00
Ex-dividend Date,09/23/22
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,45.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.37
Prev Close,66.95
Short Interest,0.0118
Today's Open,67.12
Volume,1430975.0
Volume 10-day Avg,3712081.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.28301886792452824
Growth 1yr High Est,0.19205298013245042
Growth 1yr Consensus Est,0.23753592402848933
Growth 2yr Low Est,0.20033296337402884
Growth 2yr High Est,0.20713760117733637
Growth 2yr Consensus Est,0.2037352822756826
Growth 5yr Low Est,0.15367312695858099
Growth 5yr High Est,0.18306299627689376
Growth 5yr Consensus Est,0.16836806161773737
Growth 5yr Actual/Est,0.15762249346565377
Growth 3yr Historic,0.07877779649595684
Price/Earnings (TTM),30.37035
Price/Sales (TTM),1.81454
Price/Book (MRQ),2.83006
Price/Cash Flow (TTM),17.98126
5yr Low,22.78
5yr High,81.77
5yr Avg Return,0.1439
EPS Growth 5yr,0.2521538
Revenue Growth 5yr,0.020705499999999998
Dividend Growth 5yr,0.068078
Short Int Current Month,8091692.0
Short Int Prev Month,9033257.0
Short Int Pct of Float,0.0118449
Days to Cover,1.53121
Float,685.2507
Shares Outstanding,686.7039
Institutions Holding Shares,1241.0
FCF Growth 5yr,2.406033405208818
"Price/Earnings (TTM, GAAP)",30.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3298
Operating Profit Margin (TTM),0.076
Net Profit Margin (TTM),0.0681
Annual Dividend Yield,0.0209
Dividend Change %,0.29910000000000003
"Dividend Growth Rate, 3 Years",0.1015
EPS Growth (MRQ),1.0108
EPS Growth (TTM),0.049
Revenue Growth (MRQ),0.0168
Revenue Growth (TTM),0.0689
Return On Equity (TTM),0.0906
Return On Assets (TTM),0.040999999999999995
Return On Investment (TTM),0.056100000000000004
Revenue Per Employee (TTM),248029.0
Total Debt/Total Capital (MRQ),0.33990000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-09-08 00:00:00
researchTeam since,2021-07-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-30 00:00:00
ford since,2021-08-06 00:00:00
marketEdge opinion since,
