,JCI
Price/Earnings (TTM),30.37035
Price/Sales (TTM),1.81454
Price/Book (MRQ),2.83006
Price/Cash Flow (TTM),17.98126
5yr Low,22.78
5yr High,81.77
5yr Avg Return,0.1439
EPS Growth 5yr,0.2521538
Revenue Growth 5yr,0.020705499999999998
Dividend Growth 5yr,0.068078
Short Int Current Month,8091692.0
Short Int Prev Month,9033257.0
Short Int Pct of Float,0.0118449
Days to Cover,1.53121
Float,685.2507
Shares Outstanding,686.7039
Institutions Holding Shares,1241.0
% Held by Institutions,0.963784
FCF Growth 5yr,2.406033405208818
