,CTIC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),22.36,45.03,Valuation,0.4965578503220075
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9286,0.5874,Profitability,1.5808648280558393
Operating Profit Margin (TTM),-3.0907,-4.7459,Profitability,0.6512358035356834
Net Profit Margin (TTM),-3.4177,-4.5467,Profitability,0.751688037477731
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.3812,-0.0014000000000000002,Gowth rates,-272.2857142857142
EPS Growth (TTM),-0.21030000000000001,0.027200000000000002,Gowth rates,-7.731617647058823
Revenue Growth (MRQ),0.47950000000000004,1.3963999999999999,Gowth rates,0.34338298481810375
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-10.1875,0.1967,Effectiveness,-51.792069140823585
Return On Assets (TTM),-0.9998,0.0016,Effectiveness,-624.875
Return On Investment (TTM),-1.6944,0.0219,Effectiveness,-77.36986301369863
Revenue Per Employee (TTM),271612.0,1476201.0,Effectiveness,0.18399391410790264
Total Debt/Total Capital (MRQ),1.181,0.4675,Financial strength,2.52620320855615
Change in Debt/Total Capital Quarter over Quarter,0.0091,0.0036,Financial strength,2.527777777777778
Quick Ratio (MRQ),3.22,2.06,Financial strength,1.5631067961165048
Interest Coverage (MRQ),-3.43,2.69,Financial strength,-1.275092936802974
