,CTIC
% Below High,0.2577
% Held by Institutions,0.7576999999999999
52-Wk Range,['1.43 - 7.80']
Annual Dividend $,
Annual Dividend %,
Ask,5.8
Ask Size,4200.0
B/A Ratio,0.11904761904761904
B/A Size,500x4200
Beta,0.8
Bid,5.71
Bid Size,500.0
Closing Price,5.79
Day Change $,0.04
Day Change %,0.006999999999999999
Day High,5.85
Day Low,5.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,1.0690000000000002
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,735.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.75
Short Interest,0.1354
Today's Open,5.72
Volume,1000704.0
Volume 10-day Avg,3516046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-30 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5625
Growth 2yr High Est,-1.5901639344262295
Growth 2yr Consensus Est,-1.0763319672131146
Growth 5yr Low Est,-0.5625
Growth 5yr High Est,-1.5901639344262295
Growth 5yr Consensus Est,-1.0763319672131146
Growth 5yr Actual/Est,-0.19053766570719102
Growth 3yr Historic,0.1363591852722288
Price/Earnings (TTM),
Price/Sales (TTM),22.35562
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.6001
5yr High,7.8
5yr Avg Return,0.40728333333333333
Short Int Current Month,17055007.0
Short Int Prev Month,18193174.0
Short Int Pct of Float,0.1354311
Days to Cover,3.61771
Float,125.9111
Shares Outstanding,126.8942
Institutions Holding Shares,164.0
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9286
Operating Profit Margin (TTM),-3.0907
Net Profit Margin (TTM),-3.4177
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3812
EPS Growth (TTM),-0.21030000000000001
Revenue Growth (MRQ),0.47950000000000004
Revenue Growth (TTM),
Return On Equity (TTM),-10.1875
Return On Assets (TTM),-0.9998
Return On Investment (TTM),-1.6944
Revenue Per Employee (TTM),271612.0
Total Debt/Total Capital (MRQ),1.181
Change in Debt/Total Capital Quarter over Quarter,0.0091
Quick Ratio (MRQ),3.22
Interest Coverage (MRQ),-3.43
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-05-22 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
