,CCL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),1.26,5.62,Valuation,0.22419928825622776
Price/Book (MRQ),1.46,8.49,Valuation,0.17196702002355713
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.2552,0.4054,Profitability,0.6295017266896892
Operating Profit Margin (TTM),-0.5651,0.163,Profitability,-3.466871165644172
Net Profit Margin (TTM),-0.7399,0.0779,Profitability,-9.498074454428755
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),0.5961,0.3309,Gowth rates,1.8014505893019037
EPS Growth (TTM),0.27090000000000003,2.1359,Gowth rates,0.12683178051406904
Revenue Growth (MRQ),0.793,0.38439999999999996,Gowth rates,2.0629552549427683
Revenue Growth (TTM),13.6585,0.7695000000000001,Gowth rates,17.7498375568551
Return On Equity (TTM),-0.6123,0.19090000000000001,Effectiveness,-3.2074384494499735
Return On Assets (TTM),-0.135,0.0758,Effectiveness,-1.7810026385224274
Return On Investment (TTM),-0.17149999999999999,0.1005,Effectiveness,-1.706467661691542
Revenue Per Employee (TTM),246564.0,285753.0,Effectiveness,0.8628570828652717
Total Debt/Total Capital (MRQ),0.8026000000000001,1.1596,Financial strength,0.6921352190410487
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.002,Financial strength,0.6
Quick Ratio (MRQ),0.62,0.81,Financial strength,0.7654320987654321
Interest Coverage (MRQ),-0.7,40.22,Financial strength,-0.0174042764793635
