,CCL
% Above Low,0.5925
% Held by Institutions,0.4779
52-Wk Range,['6.11 - 23.86']
Annual Dividend $,
Annual Dividend %,
Ask,9.73
Ask Size,1900.0
B/A Ratio,0.2631578947368421
B/A Size,500x1900
Beta,2.1
Bid,9.7
Bid Size,500.0
Closing Price,9.73
Day Change $,0.0
Day Change %,0.0
Day High,9.93
Day Low,9.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.24
Ex-dividend Date,No dividend
Historical Volatility,0.802
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,12.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,9.73
Short Interest,0.11410000000000001
Today's Open,9.7
Volume,23780814.0
Volume 10-day Avg,62240861.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.4713656387665198
Growth 1yr High Est,-0.34676258992805753
Growth 1yr Consensus Est,-0.4090641143472887
Growth 2yr Low Est,-0.7013078193832599
Growth 2yr High Est,-0.7857160967261433
Growth 2yr Consensus Est,-0.7435119580547016
Growth 5yr Low Est,-1.138568601634758
Growth 5yr High Est,-1.0450571224371457
Growth 5yr Consensus Est,-1.091812862035952
Growth 5yr Actual/Est,-1.0491403931659997
Growth 3yr Historic,-0.6881533710599974
Price/Earnings (TTM),
Price/Sales (TTM),1.25968
Price/Book (MRQ),1.462
Price/Cash Flow (TTM),
5yr Low,6.11
5yr High,72.7
5yr Avg Return,-0.23430000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.3495631
Dividend Growth 5yr,
Short Int Current Month,116897643.0
Short Int Prev Month,122619460.0
Short Int Pct of Float,0.1141027
Days to Cover,1.85478
Float,1024.07
Shares Outstanding,1258.272
Institutions Holding Shares,925.0
FCF Growth 5yr,-0.05538507235561604
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2552
Operating Profit Margin (TTM),-0.5651
Net Profit Margin (TTM),-0.7399
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5961
EPS Growth (TTM),0.27090000000000003
Revenue Growth (MRQ),0.793
Revenue Growth (TTM),13.6585
Return On Equity (TTM),-0.6123
Return On Assets (TTM),-0.135
Return On Investment (TTM),-0.17149999999999999
Revenue Per Employee (TTM),246564.0
Total Debt/Total Capital (MRQ),0.8026000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),0.62
Interest Coverage (MRQ),-0.7
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2019-09-27 00:00:00
cfra since,2021-06-24 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-21 00:00:00
