,JWN
% Above Low,0.3594
% Held by Institutions,0.5558
52-Wk Range,['16.14 - 29.59']
Annual Dividend $,0.76
Annual Dividend %,0.034300000000000004
Ask,22.22
Ask Size,400.0
B/A Ratio,5.0
B/A Size,2000x400
Beta,2.2
Bid,21.91
Bid Size,2000.0
Closing Price,21.94
Day Change $,0.25
Day Change %,0.0115
Day High,22.2
Day Low,21.55
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.7070000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.5
Prev Close,21.69
Short Interest,0.2365
Today's Open,21.69
Volume,3903629.0
Volume 10-day Avg,6944459.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-1.4691629955947136
Growth 1yr High Est,-1.6163069544364508
Growth 1yr Consensus Est,-1.5427349750155823
Growth 2yr Low Est,-0.8589946433372628
Growth 2yr High Est,-0.7283869402532448
Growth 2yr Consensus Est,-0.7936907917952538
Growth 5yr Low Est,-0.5726630955581752
Growth 5yr High Est,-0.4855912935021632
Growth 5yr Consensus Est,-0.5291271945301693
Growth 5yr Actual/Est,-0.7639225486042613
Growth 3yr Historic,-0.9305471984642053
Price/Earnings (TTM),11.49652
Price/Sales (TTM),0.22516
Price/Book (MRQ),5.83195
Price/Cash Flow (TTM),3.85405
5yr Low,11.72
5yr High,67.75
5yr Avg Return,-0.10338333333333333
EPS Growth 5yr,-0.1148497
Revenue Growth 5yr,0.0004333
Dividend Growth 5yr,
Short Int Current Month,22635415.0
Short Int Prev Month,22861295.0
Short Int Pct of Float,0.2365191
Days to Cover,6.05835
Float,96.92235
Shares Outstanding,159.7
Institutions Holding Shares,442.0
FCF Growth 5yr,-0.4481415050399211
"Price/Earnings (TTM, GAAP)",11.5
"PEG Ratio (TTM, GAAP)",0.51
Gross Profit Margin (TTM),0.36869999999999997
Operating Profit Margin (TTM),0.0368
Net Profit Margin (TTM),0.020800000000000003
Annual Dividend Yield,0.034300000000000004
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1621
EPS Growth (TTM),39.9037
Revenue Growth (MRQ),-0.1341
Revenue Growth (TTM),0.1253
Return On Equity (TTM),0.6756000000000001
Return On Assets (TTM),0.0344
Return On Investment (TTM),0.0593
Revenue Per Employee (TTM),261600.0
Total Debt/Total Capital (MRQ),0.8298000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.24
Interest Coverage (MRQ),0.09
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-08-25 00:00:00
researchTeam since,2019-04-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-24 00:00:00
ford since,2022-03-04 00:00:00
marketEdge opinion since,
