,JWN
Price/Earnings (TTM),11.49652
Price/Sales (TTM),0.22516
Price/Book (MRQ),5.83195
Price/Cash Flow (TTM),3.85405
5yr Low,11.72
5yr High,67.75
5yr Avg Return,-0.10338333333333333
EPS Growth 5yr,-0.1148497
Revenue Growth 5yr,0.0004333
Dividend Growth 5yr,
Short Int Current Month,22635415.0
Short Int Prev Month,22861295.0
Short Int Pct of Float,0.2365191
Days to Cover,6.05835
Float,96.92235
Shares Outstanding,159.7
Institutions Holding Shares,442.0
% Held by Institutions,0.5558339999999999
FCF Growth 5yr,-0.4481415050399211
