,CW
% Below High,0.0053
% Held by Institutions,0.8584999999999999
52-Wk Range,['123.84 - 180.28']
Annual Dividend $,0.76
Annual Dividend %,0.0042
Ask,212.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,112.76
Bid Size,100.0
Closing Price,179.33
Day Change $,1.28
Day Change %,0.0072
Day High,180.28
Day Low,178.38
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",6.74
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.29100000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.59
Prev Close,178.05
Short Interest,0.020099999999999996
Today's Open,178.88
Volume,31444.0
Volume 10-day Avg,176149.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.112947658402204
Growth 1yr High Est,0.1036339165545086
Growth 1yr Consensus Est,0.1082907874783563
Growth 2yr Low Est,0.06637481930011191
Growth 2yr High Est,0.10059744608213239
Growth 2yr Consensus Est,0.08348613269112215
Growth 5yr Low Est,0.04127241158239284
Growth 5yr High Est,0.0575737318248839
Growth 5yr Consensus Est,0.04942307170363837
Growth 5yr Actual/Est,0.0493114989223809
Growth 3yr Historic,0.0033481897050549603
Price/Earnings (TTM),26.59266
Price/Sales (TTM),2.78564
Price/Book (MRQ),3.6484
Price/Cash Flow (TTM),18.36901
5yr Low,70.56
5yr High,179.79
5yr Avg Return,0.09071666666666667
EPS Growth 5yr,0.0937201
Revenue Growth 5yr,0.0350977
Dividend Growth 5yr,0.061253
Short Int Current Month,763678.0
Short Int Prev Month,904593.0
Short Int Pct of Float,0.020114
Days to Cover,3.19396
Float,37.96883
Shares Outstanding,38.30767
Institutions Holding Shares,443.0
FCF Growth 5yr,-0.7740122295830923
"Price/Earnings (TTM, GAAP)",26.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3747
Operating Profit Margin (TTM),0.1507
Net Profit Margin (TTM),0.10619999999999999
Annual Dividend Yield,0.0042
Dividend Change %,0.0294
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),0.040999999999999995
EPS Growth (TTM),0.134
Revenue Growth (MRQ),0.0348
Revenue Growth (TTM),-0.0165
Return On Equity (TTM),0.1384
Return On Assets (TTM),0.0622
Return On Investment (TTM),0.0768
Revenue Per Employee (TTM),316169.0
Total Debt/Total Capital (MRQ),0.41630000000000006
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),7.69
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-10 00:00:00
