,CW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.59,50.64,Valuation,0.5250789889415481
Price/Sales (TTM),2.79,4.74,Valuation,0.5886075949367089
Price/Book (MRQ),3.65,4.28,Valuation,0.8528037383177569
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),0.3747,0.19460000000000002,Profitability,1.925488180883864
Operating Profit Margin (TTM),0.1507,-0.5263,Profitability,-0.28633859015770474
Net Profit Margin (TTM),0.10619999999999999,-0.5391,Profitability,-0.19699499165275455
Annual Dividend Yield,0.0042,0.0139,Dividend,0.302158273381295
Dividend Change %,0.0294,0.0564,Dividend,0.5212765957446809
"Dividend Growth Rate, 3 Years",0.0527,0.0055000000000000005,Dividend,9.58181818181818
EPS Growth (MRQ),0.040999999999999995,-3.8235,Gowth rates,-0.010723159408918529
EPS Growth (TTM),0.134,0.2595,Gowth rates,0.5163776493256262
Revenue Growth (MRQ),0.0348,0.0689,Gowth rates,0.5050798258345428
Revenue Growth (TTM),-0.0165,0.0147,Gowth rates,-1.1224489795918369
Return On Equity (TTM),0.1384,0.1825,Effectiveness,0.7583561643835617
Return On Assets (TTM),0.0622,0.047,Effectiveness,1.323404255319149
Return On Investment (TTM),0.0768,0.0521,Effectiveness,1.474088291746641
Revenue Per Employee (TTM),316169.0,411752.0,Effectiveness,0.7678626940488449
Total Debt/Total Capital (MRQ),0.41630000000000006,0.5861,Financial strength,0.7102883466985158
Change in Debt/Total Capital Quarter over Quarter,0.002,-0.0001,Financial strength,-20.0
Quick Ratio (MRQ),1.08,1.06,Financial strength,1.0188679245283019
Interest Coverage (MRQ),7.69,7.88,Financial strength,0.9758883248730965
