,LAZ
% Above Low,0.21670000000000003
% Held by Institutions,0.6436
52-Wk Range,['30.21 - 46.74']
Annual Dividend $,2.0
Annual Dividend %,0.054400000000000004
Ask,39.9
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.4
Bid,27.78
Bid Size,200.0
Closing Price,36.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",4.89
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.37700000000000006
Last (size),207.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.51
Prev Close,36.75
Short Interest,0.0404
Today's Open,
Volume,212911.0
Volume 10-day Avg,684604.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.22077922077922074
Growth 1yr High Est,0.09259259259259256
Growth 1yr Consensus Est,0.15668590668590665
Growth 2yr Low Est,-0.11833379386570875
Growth 2yr High Est,0.12135682898394762
Growth 2yr Consensus Est,0.0015115175591194352
Growth 5yr Low Est,-0.059166896932854374
Growth 5yr High Est,0.06067841449197381
Growth 5yr Consensus Est,0.0007557587795597176
Growth 5yr Actual/Est,0.0308845580460069
Growth 3yr Historic,0.12439024390243902
Price/Earnings (TTM),7.51237
Price/Sales (TTM),1.32145
Price/Book (MRQ),5.7902
Price/Cash Flow (TTM),7.03994
5yr Low,20.94
5yr High,60.0
5yr Avg Return,-0.03196666666666667
EPS Growth 5yr,0.0964193
Revenue Growth 5yr,0.0655207
Dividend Growth 5yr,0.0475972
Short Int Current Month,4386335.0
Short Int Prev Month,5666833.0
Short Int Pct of Float,0.0404023
Days to Cover,4.72331
Float,108.9934
Shares Outstanding,112.7661
Institutions Holding Shares,283.0
FCF Growth 5yr,1.3514226134654324
"Price/Earnings (TTM, GAAP)",7.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9351
Operating Profit Margin (TTM),0.22710000000000002
Net Profit Margin (TTM),0.1743
Annual Dividend Yield,0.054400000000000004
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0281
EPS Growth (MRQ),0.1443
EPS Growth (TTM),0.1054
Revenue Growth (MRQ),0.1298
Revenue Growth (TTM),-0.0074
Return On Equity (TTM),0.7186
Return On Assets (TTM),0.08449999999999999
Return On Investment (TTM),0.1466
Revenue Per Employee (TTM),986497.0
Total Debt/Total Capital (MRQ),0.8477
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-28 00:00:00
theStreet since,2021-02-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
