,HIG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.23,19.05,Valuation,0.694488188976378
Price/Sales (TTM),1.09,2.31,Valuation,0.47186147186147187
Price/Book (MRQ),1.92,3.65,Valuation,0.5260273972602739
"PEG Ratio (TTM, GAAP)",0.89,6.78,Valuation,0.13126843657817108
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.11960000000000001,0.1342,Profitability,0.8912071535022354
Net Profit Margin (TTM),0.0882,0.1081,Profitability,0.8159111933395005
Annual Dividend Yield,0.022400000000000003,0.0167,Dividend,1.3413173652694612
Dividend Change %,0.1038,-0.004,Dividend,-25.95
"Dividend Growth Rate, 3 Years",0.09269999999999999,0.0233,Dividend,3.978540772532188
EPS Growth (MRQ),-0.22510000000000002,-0.11750000000000001,Gowth rates,1.9157446808510639
EPS Growth (TTM),-0.0425,-0.0281,Gowth rates,1.512455516014235
Revenue Growth (MRQ),0.0385,0.0922,Gowth rates,0.41757049891540127
Revenue Growth (TTM),0.011899999999999999,0.0431,Gowth rates,0.27610208816705334
Return On Equity (TTM),0.1283,0.35479999999999995,Effectiveness,0.36161217587373173
Return On Assets (TTM),0.026400000000000003,0.031200000000000002,Effectiveness,0.8461538461538463
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),1224420.0,1270541.0,Effectiveness,0.9636997153181204
Total Debt/Total Capital (MRQ),0.2516,0.38939999999999997,Financial strength,0.6461222393425784
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0019,Financial strength,-0.3157894736842105
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),19.02,10.36,Financial strength,1.835907335907336
