,HIG
% Below High,0.0016
% Held by Institutions,0.9172
52-Wk Range,['60.17 - 76.09']
Annual Dividend $,1.7
Annual Dividend %,0.022400000000000003
Ask,76.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,50.5
Bid Size,100.0
Closing Price,75.97
Day Change $,0.44
Day Change %,0.0058
Day High,76.09
Day Low,75.69
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",5.74
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.267
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,24.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.23
Prev Close,75.53
Short Interest,0.0084
Today's Open,75.97
Volume,481362.0
Volume 10-day Avg,1666124.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.3046728971962618
Growth 1yr High Est,0.2914485165794065
Growth 1yr Consensus Est,0.29806070688783415
Growth 2yr Low Est,0.2361473368502799
Growth 2yr High Est,0.28085939342483834
Growth 2yr Consensus Est,0.2585033651375591
Growth 5yr Low Est,0.11807366842513994
Growth 5yr High Est,0.14042969671241917
Growth 5yr Consensus Est,0.12925168256877956
Growth 5yr Actual/Est,0.10819383642152813
Growth 3yr Historic,0.02175567259699296
Price/Earnings (TTM),13.23095
Price/Sales (TTM),1.09042
Price/Book (MRQ),1.92329
Price/Cash Flow (TTM),9.35216
5yr Low,19.04
5yr High,78.17
5yr Avg Return,0.077
EPS Growth 5yr,0.33644150000000006
Revenue Growth 5yr,0.06520909999999999
Dividend Growth 5yr,0.1078238
Short Int Current Month,2651787.0
Short Int Prev Month,2460344.0
Short Int Pct of Float,0.008370800000000001
Days to Cover,1.44588
Float,316.9112
Shares Outstanding,318.0989
Institutions Holding Shares,1034.0
FCF Growth 5yr,0.8479449064172228
"Price/Earnings (TTM, GAAP)",13.23
"PEG Ratio (TTM, GAAP)",0.89
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.11960000000000001
Net Profit Margin (TTM),0.0882
Annual Dividend Yield,0.022400000000000003
Dividend Change %,0.1038
"Dividend Growth Rate, 3 Years",0.09269999999999999
EPS Growth (MRQ),-0.22510000000000002
EPS Growth (TTM),-0.0425
Revenue Growth (MRQ),0.0385
Revenue Growth (TTM),0.011899999999999999
Return On Equity (TTM),0.1283
Return On Assets (TTM),0.026400000000000003
Return On Investment (TTM),
Revenue Per Employee (TTM),1224420.0
Total Debt/Total Capital (MRQ),0.2516
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.02
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-11-23 00:00:00
researchTeam since,2022-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-29 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
