,CLFD
% Below High,0.0302
% Held by Institutions,0.5979
52-Wk Range,['44.15 - 134.90']
Annual Dividend $,
Annual Dividend %,
Ask,133.97
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,131.0
Bid Size,100.0
Closing Price,130.82
Day Change $,1.32
Day Change %,0.0102
Day High,134.9
Day Low,128.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.55
Ex-dividend Date,No dividend
Historical Volatility,0.74
Last (size),58.0
Last (time),12:59p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.86
Prev Close,129.5
Short Interest,0.0816
Today's Open,129.5
Volume,178371.0
Volume 10-day Avg,413533.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1264916467780428
Growth 2yr High Est,0.16009280742459397
Growth 2yr Consensus Est,0.1432922271013184
Growth 5yr Low Est,0.1264916467780428
Growth 5yr High Est,0.16009280742459397
Growth 5yr Consensus Est,0.1432922271013184
Growth 5yr Actual/Est,0.880628833611748
Growth 3yr Historic,0.7971377230137336
Price/Earnings (TTM),36.85974
Price/Sales (TTM),6.67347
Price/Book (MRQ),12.24898
Price/Cash Flow (TTM),34.25353
5yr Low,8.32
5yr High,132.97
5yr Avg Return,0.6340666666666667
EPS Growth 5yr,0.6599307
Revenue Growth 5yr,0.296497
Dividend Growth 5yr,
Short Int Current Month,943413.0
Short Int Prev Month,971812.0
Short Int Pct of Float,0.08164690000000001
Days to Cover,3.12291
Float,11.52488
Shares Outstanding,13.81845
Institutions Holding Shares,250.0
FCF Growth 5yr,2.0788121148600163
"Price/Earnings (TTM, GAAP)",36.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41700000000000004
Operating Profit Margin (TTM),0.2356
Net Profit Margin (TTM),0.1822
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3309
EPS Growth (TTM),1.4097
Revenue Growth (MRQ),0.3337
Revenue Growth (TTM),0.9245000000000001
Return On Equity (TTM),0.39270000000000005
Return On Assets (TTM),0.2781
Return On Investment (TTM),0.349
Revenue Per Employee (TTM),665560.0
Total Debt/Total Capital (MRQ),0.11230000000000001
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),83.34
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-09-23 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-07-24 00:00:00
theStreet since,
