,CBOE
% Below High,0.053899999999999997
% Held by Institutions,0.8256999999999999
52-Wk Range,['103.82 - 133.02']
Annual Dividend $,2.0
Annual Dividend %,0.0159
Ask,135.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,117.55
Bid Size,100.0
Closing Price,125.85
Day Change $,1.01
Day Change %,0.008100000000000001
Day High,127.0
Day Low,124.69
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.23
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.257
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",56.31
Prev Close,124.84
Short Interest,0.0255
Today's Open,125.25
Volume,214088.0
Volume 10-day Avg,948891.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.18292682926829262
Growth 1yr High Est,0.16442953020134232
Growth 1yr Consensus Est,0.17367817973481747
Growth 2yr Low Est,0.09146341463414631
Growth 2yr High Est,0.11535597547531096
Growth 2yr Consensus Est,0.10340969505472863
Growth 5yr Low Est,0.10427283085588407
Growth 5yr High Est,0.11599585353184805
Growth 5yr Consensus Est,0.11013434219386606
Growth 5yr Actual/Est,0.10703169084038722
Growth 3yr Historic,0.06554312374885163
Price/Earnings (TTM),56.31326
Price/Sales (TTM),3.4947
Price/Book (MRQ),4.0532
Price/Cash Flow (TTM),32.93965
5yr Low,72.01
5yr High,139.0
5yr Avg Return,0.03575
EPS Growth 5yr,0.16714009999999999
Revenue Growth 5yr,0.3969425
Dividend Growth 5yr,0.13396660000000002
Short Int Current Month,2819404.0
Short Int Prev Month,2549419.0
Short Int Pct of Float,0.025459299999999997
Days to Cover,4.29083
Float,105.5794
Shares Outstanding,106.0822
Institutions Holding Shares,783.0
FCF Growth 5yr,0.345223994453826
"Price/Earnings (TTM, GAAP)",56.31
"PEG Ratio (TTM, GAAP)",8.62
Gross Profit Margin (TTM),0.4385
Operating Profit Margin (TTM),0.11900000000000001
Net Profit Margin (TTM),0.0631
Annual Dividend Yield,0.0159
Dividend Change %,0.15380000000000002
"Dividend Growth Rate, 3 Years",0.1577
EPS Growth (MRQ),1.8101
EPS Growth (TTM),-0.4661
Revenue Growth (MRQ),0.0078000000000000005
Revenue Growth (TTM),0.1001
Return On Equity (TTM),0.0706
Return On Assets (TTM),0.032400000000000005
Return On Investment (TTM),0.0426
Revenue Per Employee (TTM),3194147.0
Total Debt/Total Capital (MRQ),0.36090000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0049
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.63
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
cfra since,2021-11-18 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-07 00:00:00
