,DIS
% Above Low,0.1459
% Held by Institutions,0.6217
52-Wk Range,['86.28 - 160.32']
Annual Dividend $,
Annual Dividend %,
Ask,98.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,98.74
Bid Size,100.0
Closing Price,98.87
Day Change $,-0.01
Day Change %,-0.0001
Day High,99.81
Day Low,98.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.75
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,176.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",56.56
Prev Close,98.88
Short Interest,0.0111
Today's Open,98.81
Volume,6664281.0
Volume 10-day Avg,22481783.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5671140939597314
Growth 2yr High Est,0.26853707414829664
Growth 2yr Consensus Est,0.41782558405401404
Growth 5yr Low Est,0.5671140939597314
Growth 5yr High Est,0.26853707414829664
Growth 5yr Consensus Est,0.41782558405401404
Growth 5yr Actual/Est,0.28505578661817715
Growth 3yr Historic,0.16878702062345968
Price/Earnings (TTM),56.5592
Price/Sales (TTM),2.17893
Price/Book (MRQ),1.8534
Price/Cash Flow (TTM),21.91704
5yr Low,79.07
5yr High,203.02
5yr Avg Return,0.020666666666666663
EPS Growth 5yr,-0.2103076
Revenue Growth 5yr,0.08451499999999999
Dividend Growth 5yr,
Short Int Current Month,20233137.0
Short Int Prev Month,16342777.0
Short Int Pct of Float,0.0111113
Days to Cover,0.95225
Float,1805.248
Shares Outstanding,1823.058
Institutions Holding Shares,3828.0
FCF Growth 5yr,-1.8034876043707426
"Price/Earnings (TTM, GAAP)",56.56
"PEG Ratio (TTM, GAAP)",2.23
Gross Profit Margin (TTM),0.26920000000000005
Operating Profit Margin (TTM),0.0797
Net Profit Margin (TTM),0.043
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8851000000000001
EPS Growth (TTM),0.5801
Revenue Growth (MRQ),-0.063
Revenue Growth (TTM),0.227
Return On Equity (TTM),0.0348
Return On Assets (TTM),0.0174
Return On Investment (TTM),0.0222
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.3086
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),2.64
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-26 00:00:00
cfra since,2022-10-03 00:00:00
ford since,2022-08-26 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-03-13 00:00:00
