,DIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.56,-577.59,Valuation,-0.09792413303554424
Price/Sales (TTM),2.18,6.3,Valuation,0.3460317460317461
Price/Book (MRQ),1.85,7.63,Valuation,0.24246395806028834
"PEG Ratio (TTM, GAAP)",2.23,-24.63,Valuation,-0.09053999187982135
Gross Profit Margin (TTM),0.26920000000000005,0.41159999999999997,Profitability,0.654033041788144
Operating Profit Margin (TTM),0.0797,0.0672,Profitability,1.1860119047619047
Net Profit Margin (TTM),0.043,0.0336,Profitability,1.2797619047619047
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.8851000000000001,-1.1815,Gowth rates,0.7491324587388913
EPS Growth (TTM),0.5801,0.2345,Gowth rates,2.473773987206823
Revenue Growth (MRQ),-0.063,0.2214,Gowth rates,-0.2845528455284553
Revenue Growth (TTM),0.227,0.44170000000000004,Gowth rates,0.5139234774733982
Return On Equity (TTM),0.0348,0.1716,Effectiveness,0.20279720279720279
Return On Assets (TTM),0.0174,0.0233,Effectiveness,0.7467811158798282
Return On Investment (TTM),0.0222,0.027999999999999997,Effectiveness,0.7928571428571429
Revenue Per Employee (TTM),,999442.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.3086,0.4204,Financial strength,0.7340627973358705
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0014000000000000002,Financial strength,-0.7857142857142857
Quick Ratio (MRQ),0.94,0.41,Financial strength,2.292682926829268
Interest Coverage (MRQ),2.64,-3.12,Financial strength,-0.8461538461538461
