,SPGI
% Above Low,0.2576
% Held by Institutions,0.8814
52-Wk Range,['279.32 - 484.21']
Annual Dividend $,3.4
Annual Dividend %,0.0095
Ask,351.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,351.26
Bid Size,300.0
Day Change $,-6.63
Day Change %,-0.018500000000000003
Day High,357.34
Day Low,351.28
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",11.96
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.303
Last (size),100.0
Last (time),3:00p ET 11/28/22
Market Cap,114.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.93
Prev Close,357.91
Price,351.28
Short Interest,0.0139
Today's Open,354.46
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.18823529411764706
Growth 1yr High Est,-0.19047619047619035
Growth 1yr Consensus Est,-0.1893557422969187
Growth 2yr Low Est,-0.09592924126172203
Growth 2yr High Est,0.009931245225362872
Growth 2yr Consensus Est,-0.04299899801817958
Growth 5yr Low Est,0.05541367187382559
Growth 5yr High Est,0.10609228799641893
Growth 5yr Consensus Est,0.08075297993512226
Growth 5yr Actual/Est,0.09101257922981881
Growth 3yr Historic,0.09964862659630519
Price/Earnings (TTM),29.92556
Price/Sales (TTM),11.2871
Price/Book (MRQ),3.48598
Price/Cash Flow (TTM),25.66177
5yr Low,156.68
5yr High,484.21
5yr Avg Return,0.16638333333333333
EPS Growth 5yr,0.09508559999999999
Revenue Growth 5yr,0.0794576
Dividend Growth 5yr,0.16422689999999998
Short Int Current Month,4519918.0
Short Int Prev Month,3925150.0
Short Int Pct of Float,0.013900999999999998
Days to Cover,2.72118
Float,325.176
Shares Outstanding,325.8
Institutions Holding Shares,2099.0
FCF Growth 5yr,0.7973501445010437
"Price/Earnings (TTM, GAAP)",29.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6761
Operating Profit Margin (TTM),0.49520000000000003
Net Profit Margin (TTM),0.3643
Annual Dividend Yield,0.0095
Dividend Change %,0.1493
"Dividend Growth Rate, 3 Years",0.15480000000000002
EPS Growth (MRQ),-0.3586
EPS Growth (TTM),0.0308
Revenue Growth (MRQ),-0.0441
Revenue Growth (TTM),0.2792
Return On Equity (TTM),0.1789
Return On Assets (TTM),0.0992
Return On Investment (TTM),0.1234
Revenue Per Employee (TTM),452123.0
Total Debt/Total Capital (MRQ),0.2107
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),
Interest Coverage (MRQ),30.2
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-05-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-03 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
