,PSFE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),0.7,19.35,Valuation,0.03617571059431524
Price/Book (MRQ),1.37,19.03,Valuation,0.0719915922228061
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.5917,0.44520000000000004,Profitability,1.3290655884995506
Operating Profit Margin (TTM),-1.254,0.3027,Profitability,-4.142715559960356
Net Profit Margin (TTM),-1.171,0.23600000000000002,Profitability,-4.961864406779661
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),1.0015,-3.5569,Gowth rates,-0.28156540808006975
EPS Growth (TTM),-6.8585,0.15560000000000002,Gowth rates,-44.07776349614396
Revenue Growth (MRQ),-0.034100000000000005,0.16460000000000002,Gowth rates,-0.20716889428918592
Revenue Growth (TTM),-0.0009,0.2273,Gowth rates,-0.003959524857017158
Return On Equity (TTM),-1.0775000000000001,0.5459,Effectiveness,-1.9738047261403189
Return On Assets (TTM),-0.27340000000000003,0.1131,Effectiveness,-2.4173297966401415
Return On Investment (TTM),-0.4242,0.18910000000000002,Effectiveness,-2.243257535695399
Revenue Per Employee (TTM),424066.0,686074.0,Effectiveness,0.6181053355760457
Total Debt/Total Capital (MRQ),0.7454999999999999,0.5613,Financial strength,1.3281667557455905
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0048,Financial strength,0.4791666666666667
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),0.46,27.21,Financial strength,0.016905549430356485
