,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.0,19.57,4.37,,,,,
low,9.6,3.18,1.16,,,,,
change,0.5551,-0.7393000000000001,-0.6403,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,1658.0,1712.0,2468.0,2215.0,Balance Sheet
Cash & Equivalents,,,,313.0,258.0,244.0,220.0,Balance Sheet
Cash and Short Term Invs,,,,1972.0,1970.0,2711.0,2435.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,156.0,166.0,163.0,165.0,Balance Sheet
Prov. for Doubtful Accts,,,,-9.0,-9.0,-12.0,-12.0,Balance Sheet
"Trade Accts Recvble, Net",,,,148.0,157.0,151.0,152.0,Balance Sheet
Other Receivables,,,,159.0,133.0,115.0,143.0,Balance Sheet
"Total Receivables, Net",,,,307.0,290.0,265.0,296.0,Balance Sheet
Prepaid Expenses,,,,64.0,69.0,101.0,83.0,Balance Sheet
Total Current Assets,,,,2343.0,2330.0,3078.0,2814.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,48.0,44.0,37.0,34.0,Balance Sheet
"Goodwill, Net",,,,3650.0,2713.0,1993.0,1945.0,Balance Sheet
Intangibles - Gross,,,,2710.0,2943.0,2929.0,,Balance Sheet
Accum. Intangible Amort.,,,,-1508.0,-1553.0,-1594.0,,Balance Sheet
Intangibles - Net,,,,1202.0,1391.0,1335.0,1282.0,Balance Sheet
Long Term Investments,,,,,,9.0,18.0,Balance Sheet
Note Rcvble - Long Term,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,,7267.0,6501.0,6479.0,6120.0,Balance Sheet
Payable/Accrued,,,,212.0,212.0,247.0,255.0,Balance Sheet
Accrued Expenses,,,,9.0,9.0,7.0,7.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,10.0,10.0,10.0,10.0,Balance Sheet
Income Taxes Payable,,,,11.0,13.0,0.0,0.0,Balance Sheet
Other Payables,,,,1400.0,1806.0,2540.0,2357.0,Balance Sheet
Other Current Liabilities,,,,17.0,33.0,29.0,28.0,Balance Sheet
"Other Curr. Lblts, Total",,,,1428.0,1853.0,2568.0,2385.0,Balance Sheet
Total Current Liabilities,,,,1659.0,2084.0,2833.0,2658.0,Balance Sheet
Total Long Term Debt,,,,2748.0,2703.0,2657.0,2505.0,Balance Sheet
Total Debt,,,,2758.0,2713.0,2667.0,2516.0,Balance Sheet
Deferred Income Tax,,,,65.0,76.0,58.0,58.0,Balance Sheet
Minority Interest,,,,138.0,100.0,100.0,100.0,Balance Sheet
"Other Liabilities, Total",,,,87.0,75.0,52.0,41.0,Balance Sheet
Total Liabilities,,,,4697.0,5038.0,5700.0,5362.0,Balance Sheet
Common Stock,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,2950.0,3000.0,3011.0,3023.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-377.0,-1548.0,-2207.0,-2206.0,Balance Sheet
"Other Equity, Total",,,,-4.0,11.0,-26.0,-59.0,Balance Sheet
Total Equity,,,,2570.0,1463.0,779.0,759.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,7267.0,6501.0,6479.0,6120.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,724.0,725.0,727.0,727.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,372.0,368.0,379.0,366.0,Income Statement
"Cost of Revenue, Total",,,,148.0,147.0,159.0,152.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,127.0,131.0,135.0,132.0,Income Statement
Depreciation/Amortization,,,,64.0,63.0,70.0,66.0,Income Statement
Restructuring Charge,,,,4.0,-1.0,42.0,6.0,Income Statement
Impair-Assets Held for Use,,,,0.0,1206.0,676.0,4.0,Income Statement
Other Unusual Expnse (In),,,,0.0,14.0,1.0,1.0,Income Statement
Unusual Expense (Income),,,,4.0,1218.0,719.0,11.0,Income Statement
Total Operating Expense,,,,343.0,1559.0,1082.0,361.0,Income Statement
Total Operating Income,,,,29.0,-1192.0,-703.0,5.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-22.0,-26.0,-28.0,-35.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,62.0,9.0,58.0,,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,0.0,,,,Income Statement
"Other, Net",,,,2.0,-5.0,-1.0,38.0,Income Statement
Income Before Tax,,,,72.0,-1214.0,-675.0,8.0,Income Statement
Income Tax - Total,,,,-19.0,-43.0,-17.0,7.0,Income Statement
Income After Tax,,,,91.0,-1171.0,-659.0,1.0,Income Statement
Minority Interest,,,,0.0,0.0,0.0,0.0,Income Statement
Net Inc Before Extra Items,,,,90.0,-1171.0,-659.0,1.0,Income Statement
Total Net Income,,,,90.0,-1171.0,-659.0,1.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,90.0,-1171.0,-659.0,1.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,90.0,-1171.0,-659.0,1.0,Income Statement
Basic/Primary Weighted Average Shares,,,,724.0,724.0,726.0,726.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.12,-1.62,-0.91,0.0,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.12,-1.62,-0.91,0.0,Income Statement
Diluted Weighted Average Shares,,,,724.0,724.0,726.0,726.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.12,-1.62,-0.91,0.0,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.12,-1.62,-0.91,0.0,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,22.0,26.0,28.0,35.0,Income Statement
"Depreciat/Amort, Suppl",,,,2.0,2.0,2.0,66.0,Income Statement
Total Special Items,,,,4.0,1218.0,719.0,11.0,Income Statement
Normalzd Income Before Tax,,,,75.0,4.0,43.0,19.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1.0,426.0,252.0,4.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-18.0,383.0,235.0,11.0,Income Statement
Normalized Income After Tax,,,,93.0,-379.0,-192.0,8.0,Income Statement
Normalzd Inc Avail to Common,,,,93.0,-379.0,-192.0,8.0,Income Statement
Basic Normalized EPS,,,,0.13,-0.52,-0.26,0.01,Income Statement
Diluted Normalized EPS,,,,0.13,-0.52,-0.26,0.01,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-110.0,-1171.0,-1830.0,-1829.0,Cash Flow
Depreciation/Depletion,,,,261.0,63.0,133.0,199.0,Cash Flow
Deferred Taxes,,,,-97.0,-50.0,-59.0,-64.0,Cash Flow
Unusual Items,,,,324.0,1206.0,1883.0,1888.0,Cash Flow
Other Non-Cash Items,,,,-27.0,34.0,2.0,11.0,Cash Flow
Non-Cash Items,,,,297.0,1240.0,1885.0,1899.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,36.0,5.0,27.0,,Cash Flow
"Cash Interest Pd, Suppl",,,,92.0,15.0,45.0,,Cash Flow
Accounts Receivable,,,,16.0,8.0,13.0,-35.0,Cash Flow
Prepaid Expenses,,,,3.0,-5.0,-26.0,-22.0,Cash Flow
Accounts Payable,,,,-96.0,419.0,1250.0,1211.0,Cash Flow
Payable/Accrued,,,,-26.0,-1.0,40.0,29.0,Cash Flow
Changes in Working Capital,,,,-126.0,421.0,1250.0,1168.0,Cash Flow
Total Cash from Operations,,,,224.0,504.0,1379.0,1373.0,Cash Flow
Purchase of Fixed Assets,,,,-6.0,-1.0,-2.0,-3.0,Cash Flow
Purchase/Acq of Intangibles,,,,-78.0,-20.0,-43.0,-67.0,Cash Flow
Capital Expenditures,,,,-84.0,-21.0,-45.0,-70.0,Cash Flow
Acquisition of Business,,,,-264.0,-425.0,-426.0,-426.0,Cash Flow
Sale of Business,,,,0.0,,,,Cash Flow
Other Investing Cash Flow,,,,-64.0,-10.0,-24.0,-38.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-327.0,-435.0,-450.0,-464.0,Cash Flow
Total Cash from Investing,,,,-411.0,-456.0,-494.0,-534.0,Cash Flow
Financing Cash Flow Items,,,,954.0,-8.0,-19.0,-22.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,0.0,0.0,0.0,Cash Flow
Short Term Debt Issued,,,,600.0,150.0,373.0,572.0,Cash Flow
Short Term Debt Reduction,,,,-600.0,-150.0,-350.0,-566.0,Cash Flow
"Short Term Debt, Net",,,,0.0,0.0,14.0,-25.0,Cash Flow
Total Debt Issued,,,,2962.0,50.0,86.0,86.0,Cash Flow
Total Debt Reduction,,,,-3433.0,-61.0,-93.0,-131.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,-471.0,-11.0,7.0,-70.0,Cash Flow
Total Cash From Financing,,,,483.0,-19.0,-12.0,-92.0,Cash Flow
Foreign Exchange Effects,,,,-89.0,-31.0,-133.0,-284.0,Cash Flow
Net Change in Cash,,,,208.0,-2.0,740.0,464.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,1764.0,1972.0,1972.0,1972.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,1972.0,1970.0,2711.0,2435.0,Cash Flow
"Depreciation, Supplemental",,,,261.0,63.0,133.0,199.0,Cash Flow
Free Cash Flow,,,,140.0,483.0,1334.0,1303.0,
FCF Growth,,,,,2.45,1.7619047619047619,-0.02323838080959517,
