,VTRS
% Above Low,0.3135
% Held by Institutions,0.7467
52-Wk Range,['8.42 - 15.60']
Annual Dividend $,0.48
Annual Dividend %,0.0431
Ask,11.06
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,1.2
Bid,10.92
Bid Size,200.0
Closing Price,11.06
Day Change $,-0.08
Day Change %,-0.0072
Day High,11.17
Day Low,10.98
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",0.66
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.44799999999999995
Last (size),10.0
Last (time),3:59p ET 11/28/22
Market Cap,13.4B
"P/E Ratio (TTM, GAAP)",16.89
Prev Close,11.14
Short Interest,0.0166
Today's Open,11.12
Volume,19132957.0
Volume 10-day Avg,10006121.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.1095890410958904
Growth 1yr High Est,-0.1136950904392765
Growth 1yr Consensus Est,-0.11164206576758345
Growth 2yr Low Est,-0.07479452054794516
Growth 2yr High Est,-0.058305271167160166
Growth 2yr Consensus Est,-0.06654989585755267
Growth 5yr Low Est,-0.06537779555377796
Growth 5yr High Est,-0.05926627194721645
Growth 5yr Consensus Est,-0.062322033750497205
Growth 5yr Actual/Est,-0.07434770942861027
Growth 3yr Historic,-0.04240649521736639
Price/Earnings (TTM),16.88595
Price/Sales (TTM),0.80757
Price/Book (MRQ),0.70424
Price/Cash Flow (TTM),3.64015
5yr Low,8.42
5yr High,47.82
5yr Avg Return,-0.1644
EPS Growth 5yr,
Revenue Growth 5yr,0.1005771
Dividend Growth 5yr,
Short Int Current Month,20063698.0
Short Int Prev Month,21903959.0
Short Int Pct of Float,0.0165901
Days to Cover,1.78039
Float,1209.221
Shares Outstanding,1212.685
Institutions Holding Shares,1281.0
FCF Growth 5yr,0.1722336609647845
"Price/Earnings (TTM, GAAP)",16.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4319
Operating Profit Margin (TTM),0.10310000000000001
Net Profit Margin (TTM),0.048
Annual Dividend Yield,0.0431
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1278
EPS Growth (TTM),1.3463
Revenue Growth (MRQ),-0.0094
Revenue Growth (TTM),-0.0256
Return On Equity (TTM),0.039900000000000005
Return On Assets (TTM),0.015300000000000001
Return On Investment (TTM),0.0182
Revenue Per Employee (TTM),452116.0
Total Debt/Total Capital (MRQ),0.5102
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),5.06
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-10 00:00:00
theStreet since,2022-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-07 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
