,JLL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.22,-128.31,Valuation,-0.071857220793391
Price/Sales (TTM),0.37,1.78,Valuation,0.20786516853932585
Price/Book (MRQ),1.35,2.29,Valuation,0.5895196506550219
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.17,0.2696,Profitability,0.6305637982195846
Operating Profit Margin (TTM),0.0499,-0.2328,Profitability,-0.21434707903780068
Net Profit Margin (TTM),0.049,-0.1213,Profitability,-0.403957131079967
Annual Dividend Yield,,0.0044,Dividend,
Dividend Change %,,0.0943,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0072,Dividend,
EPS Growth (MRQ),-0.2618,1.0171,Gowth rates,-0.25739848589125947
EPS Growth (TTM),0.1757,0.7006,Gowth rates,0.2507850413930916
Revenue Growth (MRQ),-0.0191,0.16149999999999998,Gowth rates,-0.11826625386996906
Revenue Growth (TTM),0.1607,0.44439999999999996,Gowth rates,0.3616111611161117
Return On Equity (TTM),0.155,0.0932,Effectiveness,1.6630901287553648
Return On Assets (TTM),0.0674,0.0415,Effectiveness,1.6240963855421686
Return On Investment (TTM),0.1128,0.0722,Effectiveness,1.5623268698060941
Revenue Per Employee (TTM),216357.0,1051798.0,Effectiveness,0.2057020454497917
Total Debt/Total Capital (MRQ),0.3224,0.5311,Financial strength,0.6070419883261157
Change in Debt/Total Capital Quarter over Quarter,-0.0012,-0.0005,Financial strength,2.4
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),9.85,3.44,Financial strength,2.863372093023256
