,JLL
% Above Low,0.212
% Held by Institutions,0.9709
52-Wk Range,['135.35 - 275.77']
Annual Dividend $,
Annual Dividend %,
Ask,164.73
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,164.05
Day Change $,1.53
Day Change %,0.009399999999999999
Day High,164.68
Day Low,161.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",17.79
Ex-dividend Date,No dividend
Historical Volatility,0.419
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.22
Prev Close,162.52
Short Interest,0.022400000000000003
Today's Open,161.52
Volume,75664.0
Volume 10-day Avg,360773.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.09303882195448454
Growth 2yr High Est,0.035776110790536775
Growth 2yr Consensus Est,-0.028631355581973883
Growth 5yr Low Est,-0.09303882195448454
Growth 5yr High Est,0.035776110790536775
Growth 5yr Consensus Est,-0.028631355581973883
Growth 5yr Actual/Est,0.14078555422112257
Growth 3yr Historic,0.182384422400845
Price/Earnings (TTM),9.22219
Price/Sales (TTM),0.36722
Price/Book (MRQ),1.35059
Price/Cash Flow (TTM),6.17465
5yr Low,78.29
5yr High,275.77
5yr Avg Return,0.07823333333333334
EPS Growth 5yr,0.20619379999999998
Revenue Growth 5yr,0.0831351
Dividend Growth 5yr,
Short Int Current Month,1051835.0
Short Int Prev Month,1316764.0
Short Int Pct of Float,0.0223557
Days to Cover,1.87033
Float,47.14547
Shares Outstanding,47.46256
Institutions Holding Shares,562.0
FCF Growth 5yr,-0.7595573946678695
"Price/Earnings (TTM, GAAP)",9.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.17
Operating Profit Margin (TTM),0.0499
Net Profit Margin (TTM),0.049
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2618
EPS Growth (TTM),0.1757
Revenue Growth (MRQ),-0.0191
Revenue Growth (TTM),0.1607
Return On Equity (TTM),0.155
Return On Assets (TTM),0.0674
Return On Investment (TTM),0.1128
Revenue Per Employee (TTM),216357.0
Total Debt/Total Capital (MRQ),0.3224
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.85
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-11 00:00:00
researchTeam since,2022-07-15 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
marketEdge opinion since,
