,CCSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.36,54.08,Valuation,0.2655325443786982
Price/Sales (TTM),10.66,9.39,Valuation,1.1352502662406816
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),1.1132,0.7206,Profitability,1.5448237579794615
Operating Profit Margin (TTM),1.6266999999999998,0.2172,Profitability,7.48941068139963
Net Profit Margin (TTM),0.7439,0.1553,Profitability,4.7900837089504185
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.2274,-0.0752,Gowth rates,3.0239361702127656
EPS Growth (TTM),,-0.2824,Gowth rates,
Revenue Growth (MRQ),0.029500000000000002,0.15560000000000002,Gowth rates,0.1895886889460154
Revenue Growth (TTM),,0.1906,Gowth rates,
Return On Equity (TTM),0.163,0.2189,Effectiveness,0.7446322521699406
Return On Assets (TTM),0.07,0.10740000000000001,Effectiveness,0.6517690875232774
Return On Investment (TTM),0.08,0.1387,Effectiveness,0.5767844268204759
Revenue Per Employee (TTM),226085.0,667721.0,Effectiveness,0.33859201672554856
Total Debt/Total Capital (MRQ),1.575,0.39659999999999995,Financial strength,3.9712556732223905
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),2.51,0.28,Financial strength,8.964285714285714
