,RH
% Above Low,0.32939999999999997
% Held by Institutions,0.8739
52-Wk Range,['207.37 - 658.51']
Annual Dividend $,
Annual Dividend %,
Ask,275.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.1
Bid,275.36
Bid Size,100.0
Day Change $,-1.54
Day Change %,-0.0055000000000000005
Day High,280.5
Day Low,272.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",22.33
Ex-dividend Date,No dividend
Historical Volatility,0.603
Last (size),100.0
Last (time),12:44p ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.41
Prev Close,277.22
Price,275.69
Short Interest,0.1305
Today's Open,275.47
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.27490849938999595
Growth 1yr High Est,0.030681818181818254
Growth 1yr Consensus Est,-0.12211334060408885
Growth 2yr Low Est,-0.26336563500066257
Growth 2yr High Est,-0.0278417443453276
Growth 2yr Consensus Est,-0.14560368967299508
Growth 5yr Low Est,0.10086477815987271
Growth 5yr High Est,0.24163591168600684
Growth 5yr Consensus Est,0.17125034492293978
Growth 5yr Actual/Est,0.19055687923880288
Growth 3yr Historic,0.24852655968461423
Price/Earnings (TTM),12.41468
Price/Sales (TTM),1.7048
Price/Book (MRQ),5.38771
Price/Cash Flow (TTM),8.61852
5yr Low,73.14
5yr High,744.56
5yr Avg Return,0.3044
EPS Growth 5yr,1.7854929999999998
Revenue Growth 5yr,0.1197884
Dividend Growth 5yr,
Short Int Current Month,2671572.0
Short Int Prev Month,2784198.0
Short Int Pct of Float,0.1304964
Days to Cover,3.78425
Float,20.47354
Shares Outstanding,23.72573
Institutions Holding Shares,500.0
FCF Growth 5yr,-0.10182163759876779
"Price/Earnings (TTM, GAAP)",12.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5139
Operating Profit Margin (TTM),0.19039999999999999
Net Profit Margin (TTM),0.1716
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3597
EPS Growth (TTM),0.2956
Revenue Growth (MRQ),0.0359
Revenue Growth (TTM),0.10039999999999999
Return On Equity (TTM),0.636
Return On Assets (TTM),0.1424
Return On Investment (TTM),0.1862
Revenue Per Employee (TTM),676856.0
Total Debt/Total Capital (MRQ),0.7215
Change in Debt/Total Capital Quarter over Quarter,0.0068000000000000005
Quick Ratio (MRQ),2.49
Interest Coverage (MRQ),9.01
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-04-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-03 00:00:00
ford since,2022-07-01 00:00:00
marketEdge opinion since,
