,CMS
Price/Earnings (TTM),24.60379
Price/Sales (TTM),2.12918
Price/Book (MRQ),2.65866
Price/Cash Flow (TTM),9.8074
5yr Low,40.48
5yr High,73.76
5yr Avg Return,0.042233333333333324
EPS Growth 5yr,0.040043800000000004
Revenue Growth 5yr,0.0275111
Dividend Growth 5yr,0.07010279999999999
Short Int Current Month,4886163.0
Short Int Prev Month,4777437.0
Short Int Pct of Float,0.0169508
Days to Cover,2.3908
Float,288.3466
Shares Outstanding,290.2516
Institutions Holding Shares,884.0
% Held by Institutions,0.902252
FCF Growth 5yr,11.016109269903636
