,TGTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),234.57,45.03,Valuation,5.209193870752832
Price/Book (MRQ),11.73,12.61,Valuation,0.9302141157811261
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9061,0.5874,Profitability,1.5425604358188627
Operating Profit Margin (TTM),-46.512,-4.7459,Profitability,9.800459343854696
Net Profit Margin (TTM),-47.4983,-4.5467,Profitability,10.446763586777223
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.11939999999999999,-0.0014000000000000002,Gowth rates,-85.28571428571426
EPS Growth (TTM),0.32439999999999997,0.027200000000000002,Gowth rates,11.926470588235292
Revenue Growth (MRQ),-0.8418000000000001,1.3963999999999999,Gowth rates,-0.6028358636493842
Revenue Growth (TTM),0.1405,0.9747,Gowth rates,0.1441469170001026
Return On Equity (TTM),-1.1586,0.1967,Effectiveness,-5.890188103711235
Return On Assets (TTM),-0.7606,0.0016,Effectiveness,-475.375
Return On Investment (TTM),-0.9481,0.0219,Effectiveness,-43.29223744292238
Revenue Per Employee (TTM),17570.0,1476201.0,Effectiveness,0.011902173213539348
Total Debt/Total Capital (MRQ),0.4107,0.4675,Financial strength,0.8785026737967914
Change in Debt/Total Capital Quarter over Quarter,0.0692,0.0036,Financial strength,19.22222222222222
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-21.22,2.69,Financial strength,-7.888475836431226
