,PLCE
% Above Low,0.311
% Held by Institutions,1.0025
52-Wk Range,['29.20 - 95.49']
Annual Dividend $,
Annual Dividend %,
Ask,38.35
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,38.19
Bid Size,200.0
Day Change $,-0.51
Day Change %,-0.0131
Day High,38.89
Day Low,37.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.41
Ex-dividend Date,No dividend
Historical Volatility,0.682
Last (size),300.0
Last (time),10:58a ET 11/28/22
Market Cap,497.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.61
Prev Close,38.79
Price,38.28
Short Interest,0.17550000000000002
Today's Open,38.08
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.7122861586314152
Growth 1yr High Est,-0.6937002172338884
Growth 1yr Consensus Est,-0.7029931879326519
Growth 2yr Low Est,-0.4372241603967887
Growth 2yr High Est,-0.1967319053072516
Growth 2yr Consensus Est,-0.31697803285202014
Growth 5yr Low Est,0.17438791980160567
Growth 5yr High Est,0.31050809314790095
Growth 5yr Consensus Est,0.24244800647475329
Growth 5yr Actual/Est,-4.0748244258505455
Growth 3yr Historic,-3.9300137569727123
Price/Earnings (TTM),4.61459
Price/Sales (TTM),0.27932
Price/Book (MRQ),2.74275
Price/Cash Flow (TTM),2.81192
5yr Low,9.25
5yr High,161.65
5yr Avg Return,-0.12251666666666665
EPS Growth 5yr,0.18452159999999998
Revenue Growth 5yr,0.0141618
Dividend Growth 5yr,
Short Int Current Month,2185846.0
Short Int Prev Month,2311522.0
Short Int Pct of Float,0.1755422
Days to Cover,4.49028
Float,12.45471
Shares Outstanding,13.02834
Institutions Holding Shares,229.0
FCF Growth 5yr,0.4746672427299879
"Price/Earnings (TTM, GAAP)",4.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3854
Operating Profit Margin (TTM),0.096
Net Profit Margin (TTM),0.0688
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.706
EPS Growth (TTM),0.3887
Revenue Growth (MRQ),0.0512
Revenue Growth (TTM),0.0352
Return On Equity (TTM),0.7061000000000001
Return On Assets (TTM),0.10800000000000001
Return On Investment (TTM),0.29710000000000003
Revenue Per Employee (TTM),516932.0
Total Debt/Total Capital (MRQ),0.6443000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),0.17
Interest Coverage (MRQ),-4.38
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-02-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-14 00:00:00
cfra since,
marketEdge opinion since,
