,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.58,31.5,,,,,
low,14.16,17.74,,,,,
change,0.6947,0.0039000000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,33857.0,9877.0,28862.0,36350.0,Balance Sheet
"Trade Accts Recvble, Gross",,,48989.0,52750.0,57338.0,56533.0,Balance Sheet
Prov. for Doubtful Accts,,,-645.0,-749.0,-817.0,-774.0,Balance Sheet
"Total Receivables, Net",,,48344.0,52001.0,56521.0,55759.0,Balance Sheet
Invent. - Finished Goods,,,28707.0,29736.0,30492.0,29992.0,Balance Sheet
Invent. - Work In Progress,,,4053.0,5800.0,8881.0,8941.0,Balance Sheet
Invent. - Raw Materials,,,31218.0,33865.0,37257.0,40313.0,Balance Sheet
Total Inventory,,,63978.0,69401.0,76630.0,79246.0,Balance Sheet
Prepaid Expenses,,,10353.0,7747.0,6932.0,8740.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,278.0,271.0,251.0,225.0,Balance Sheet
Other Current Assets,,,3171.0,4360.0,5956.0,7493.0,Balance Sheet
"Other Curr. Assets, Total",,,3449.0,4631.0,6207.0,7718.0,Balance Sheet
Total Current Assets,,,159981.0,143657.0,175152.0,187813.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,70224.0,74360.0,87108.0,87149.0,Balance Sheet
Accumulated Depreciation,,,-37171.0,-38631.0,-40111.0,-41478.0,Balance Sheet
Prop./Plant/Equip. - Net,,,33053.0,35729.0,46997.0,45671.0,Balance Sheet
"Goodwill, Net",,,66262.0,72510.0,78027.0,77196.0,Balance Sheet
Intangibles - Gross,,,110240.0,120036.0,126800.0,124670.0,Balance Sheet
Accum. Intangible Amort.,,,-67825.0,-69878.0,-71623.0,-73152.0,Balance Sheet
Intangibles - Net,,,42415.0,50158.0,55177.0,51518.0,Balance Sheet
Other Long Term Assets,,,3026.0,5965.0,5990.0,7631.0,Balance Sheet
Total Assets,,,311796.0,320998.0,369476.0,375179.0,Balance Sheet
Accounts Payable,,,19328.0,27477.0,29145.0,24523.0,Balance Sheet
Accrued Expenses,,,40693.0,34363.0,35896.0,35515.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,13217.0,11700.0,10321.0,13285.0,Balance Sheet
Income Taxes Payable,,,1255.0,2239.0,918.0,957.0,Balance Sheet
Discontinued Operations,,,128.0,120.0,106.0,91.0,Balance Sheet
"Other Curr. Lblts, Total",,,1383.0,2359.0,1024.0,1048.0,Balance Sheet
Total Current Liabilities,,,74621.0,75899.0,76386.0,74371.0,Balance Sheet
Long Term Debt,,,146516.0,144661.0,142244.0,139818.0,Balance Sheet
Capital Lease Obligations,,,4.0,,,,Balance Sheet
Total Long Term Debt,,,146520.0,144661.0,142244.0,139818.0,Balance Sheet
Total Debt,,,159737.0,156361.0,152565.0,153103.0,Balance Sheet
Deferred Income Tax,,,1297.0,3799.0,3589.0,3526.0,Balance Sheet
"Other Liabilities, Total",,,718.0,694.0,959.0,904.0,Balance Sheet
Total Liabilities,,,223156.0,225053.0,223178.0,218619.0,Balance Sheet
Common Stock,,,3.0,3.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,127606.0,144978.0,194704.0,203754.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-37052.0,-49967.0,-48305.0,-46352.0,Balance Sheet
"Other Equity, Total",,,-1917.0,931.0,-105.0,-846.0,Balance Sheet
Total Equity,,,88640.0,95945.0,146298.0,156560.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,311796.0,320998.0,369476.0,375179.0,Balance Sheet
Ttl Comm. Shares Outs.,,,34383.0,34782.0,37032.0,37332.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,103537.0,104406.0,118232.0,111554.0,Income Statement
"Cost of Revenue, Total",,,64342.0,64217.0,75011.0,67814.0,Income Statement
Selling/Gen/Admin Expense,,,27439.0,53950.0,32749.0,31732.0,Income Statement
Labor & Related Expense,,,355.0,,,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,27794.0,53950.0,32749.0,31732.0,Income Statement
Restructuring Charge,,,1939.0,599.0,1203.0,1578.0,Income Statement
Other Unusual Expnse (In),,,0.0,,,0.0,Income Statement
Unusual Expense (Income),,,1939.0,599.0,1203.0,1578.0,Income Statement
"Other Operat Expse, Total",,,142.0,122.0,1112.0,112.0,Income Statement
Total Operating Expense,,,94217.0,118888.0,110075.0,101236.0,Income Statement
Total Operating Income,,,9320.0,-14482.0,8157.0,10318.0,Income Statement
"Inter Expse,Net Non-Operat",,,-2296.0,-1490.0,-1439.0,-1567.0,Income Statement
OtherNon-OperatInc (Expnse),,,-66.0,-205.0,-756.0,-1851.0,Income Statement
"Other, Net",,,-66.0,-205.0,-756.0,-1851.0,Income Statement
Income Before Tax,,,6958.0,-16177.0,5962.0,6900.0,Income Statement
Income Tax - Total,,,2670.0,-6012.0,1517.0,1959.0,Income Statement
Income After Tax,,,4288.0,-10165.0,4445.0,4941.0,Income Statement
Net Inc Before Extra Items,,,4288.0,-10165.0,4445.0,4941.0,Income Statement
Total Net Income,,,4288.0,-10165.0,4445.0,4941.0,Income Statement
Income Available to Common Excl. Extra. Items,,,4288.0,-10165.0,4445.0,4941.0,Income Statement
Income Available to Common Incl. Extra. Items,,,4288.0,-10165.0,4445.0,4941.0,Income Statement
Basic/Primary Weighted Average Shares,,,34383.0,34446.0,35320.0,37290.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.12,-0.3,0.13,0.13,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.12,-0.3,0.13,0.13,Income Statement
Diluted Weighted Average Shares,,,34383.0,34446.0,35689.0,37748.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.12,-0.3,0.12,0.13,Income Statement
Diluted EPS Incl. Extra. Items,,,0.12,-0.3,0.12,0.13,Income Statement
Div/Share-ComStockPrimIssue,,,0.08,0.08,0.08,0.08,Income Statement
Gross Divid - Common Stock,,,2751.0,2750.0,2783.0,2988.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,2296.0,1490.0,1439.0,1567.0,Income Statement
"Depreciat/Amort, Suppl",,,1255.0,1387.0,1596.0,1665.0,Income Statement
Total Special Items,,,1939.0,599.0,1203.0,1578.0,Income Statement
Normalzd Income Before Tax,,,8897.0,-15578.0,7165.0,8478.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,744.0,210.0,306.0,448.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,3414.0,-5802.0,1823.0,2407.0,Income Statement
Normalized Income After Tax,,,5483.0,-9776.0,5342.0,6071.0,Income Statement
Normalzd Inc Avail to Common,,,5483.0,-9776.0,5342.0,6071.0,Income Statement
Basic Normalized EPS,,,0.16,-0.28,0.15,0.16,Income Statement
Diluted Normalized EPS,,,0.16,-0.28,0.15,0.16,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,12661.0,-10165.0,-5720.0,-779.0,Cash Flow
Depreciation/Depletion,,,13718.0,3544.0,7380.0,11319.0,Cash Flow
Deferred Taxes,,,4772.0,-6951.0,-4594.0,-2755.0,Cash Flow
Unusual Items,,,15155.0,,,0.0,Cash Flow
Equity in Net Earnings/Loss,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,3462.0,23997.0,29385.0,35848.0,Cash Flow
Non-Cash Items,,,18617.0,23997.0,29385.0,35848.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,-100.0,241.0,710.0,Cash Flow
"Cash Interest Pd, Suppl",,,,1282.0,2330.0,3860.0,Cash Flow
Accounts Receivable,,,-4641.0,-1693.0,-3243.0,-3271.0,Cash Flow
Inventories,,,-3189.0,-2956.0,-1461.0,-7187.0,Cash Flow
Prepaid Expenses,,,-4564.0,3158.0,3616.0,986.0,Cash Flow
Accounts Payable,,,2720.0,-18.0,-345.0,-4660.0,Cash Flow
Changes in Working Capital,,,-9674.0,-1509.0,-1433.0,-14132.0,Cash Flow
Total Cash from Operations,,,40094.0,8916.0,25018.0,29501.0,Cash Flow
Capital Expenditures,,,-2832.0,-950.0,-2473.0,-2938.0,Cash Flow
Acquisition of Business,,,,-19787.0,-55039.0,-55039.0,Cash Flow
