,CDRE
% Below High,0.18600000000000003
% Held by Institutions,0.42090000000000005
52-Wk Range,['17.40 - 31.50']
Annual Dividend $,0.32
Annual Dividend %,0.0125
Ask,28.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,23.5
Bid Size,100.0
Closing Price,25.64
Day Change $,0.7
Day Change %,0.0281
Day High,25.66
Day Low,24.82
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",0.09
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.6
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,953.5M
"P/E Ratio (TTM, GAAP)",301.43
Prev Close,24.94
Short Interest,0.0519
Today's Open,25.06
Volume,119544.0
Volume 10-day Avg,232651.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,6.6
Growth 2yr High Est,4.038461538461538
Growth 2yr Consensus Est,5.319230769230769
Growth 5yr Low Est,6.6
Growth 5yr High Est,4.038461538461538
Growth 5yr Consensus Est,5.319230769230769
Growth 5yr Actual/Est,1.525
Growth 3yr Historic,0.0
Price/Earnings (TTM),301.4343
Price/Sales (TTM),2.18674
Price/Book (MRQ),6.11395
Price/Cash Flow (TTM),52.82558
5yr Low,14.16
5yr High,31.5
5yr Avg Return,0.3493
Short Int Current Month,823046.0
Short Int Prev Month,1089068.0
Short Int Pct of Float,0.051863799999999995
Days to Cover,3.81133
Float,18.93192
Shares Outstanding,37.33227
Institutions Holding Shares,98.0
FCF Growth 5yr,0.4073859883821693
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",301.43
"PEG Ratio (TTM, GAAP)",5.76
Gross Profit Margin (TTM),0.38
Operating Profit Margin (TTM),0.0304
Net Profit Margin (TTM),0.008
Annual Dividend Yield,0.0125
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.051
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0565
Revenue Growth (TTM),
Return On Equity (TTM),0.042800000000000005
Return On Assets (TTM),0.010400000000000001
Return On Investment (TTM),0.0134
Revenue Per Employee (TTM),195677.0
Total Debt/Total Capital (MRQ),0.4944
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005
Quick Ratio (MRQ),1.46
Interest Coverage (MRQ),7.59
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
