,CDRE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",301.43,50.64,Valuation,5.9524091627172195
Price/Sales (TTM),2.19,4.74,Valuation,0.46202531645569617
Price/Book (MRQ),6.11,4.28,Valuation,1.4275700934579438
"PEG Ratio (TTM, GAAP)",5.76,1.95,Valuation,2.953846153846154
Gross Profit Margin (TTM),0.38,0.19460000000000002,Profitability,1.9527235354573482
Operating Profit Margin (TTM),0.0304,-0.5263,Profitability,-0.05776173285198556
Net Profit Margin (TTM),0.008,-0.5391,Profitability,-0.014839547393804489
Annual Dividend Yield,0.0125,0.0139,Dividend,0.8992805755395684
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),0.051,-3.8235,Gowth rates,-0.013338564142801098
EPS Growth (TTM),,0.2595,Gowth rates,
Revenue Growth (MRQ),-0.0565,0.0689,Gowth rates,-0.8200290275761973
Revenue Growth (TTM),,0.0147,Gowth rates,
Return On Equity (TTM),0.042800000000000005,0.1825,Effectiveness,0.23452054794520552
Return On Assets (TTM),0.010400000000000001,0.047,Effectiveness,0.22127659574468087
Return On Investment (TTM),0.0134,0.0521,Effectiveness,0.2571976967370442
Revenue Per Employee (TTM),195677.0,411752.0,Effectiveness,0.4752302356758437
Total Debt/Total Capital (MRQ),0.4944,0.5861,Financial strength,0.8435420576693398
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005,-0.0001,Financial strength,45.0
Quick Ratio (MRQ),1.46,1.06,Financial strength,1.3773584905660377
Interest Coverage (MRQ),7.59,7.88,Financial strength,0.9631979695431472
