,T
% Below High,0.1263
% Held by Institutions,0.5217
52-Wk Range,['14.46 - 21.53']
Annual Dividend $,1.11
Annual Dividend %,0.0581
Ask,18.81
Ask Size,28000.0
B/A Ratio,2.5785714285714287
B/A Size,72200x28000
Beta,0.6
Bid,18.8
Bid Size,72200.0
Day Change $,-0.31
Day Change %,-0.016200000000000003
Day High,19.15
Day Low,18.77
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,1.043
Last (size),100.0
Last (time),3:55p ET 11/28/22
Market Cap,134.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.04
Prev Close,19.12
Price,18.81
Short Interest,0.0132
Today's Open,19.1
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.16987179487179493
Growth 1yr High Est,-0.19298245614035092
Growth 1yr Consensus Est,-0.18142712550607293
Growth 2yr Low Est,-0.12354593604593606
Growth 2yr High Est,-0.08018688024408843
Growth 2yr Consensus Est,-0.10186640814501224
Growth 5yr Low Est,-0.055548077805272045
Growth 5yr High Est,-0.0543541793827835
Growth 5yr Consensus Est,-0.05495112859402777
Growth 5yr Actual/Est,-0.07305509335385627
Growth 3yr Historic,-0.01001532688547116
Price/Earnings (TTM),7.0366
Price/Sales (TTM),1.04535
Price/Book (MRQ),1.11312
Price/Cash Flow (TTM),3.27473
5yr Low,14.46
5yr High,39.7
5yr Avg Return,-0.07871666666666667
EPS Growth 5yr,0.0565934
Revenue Growth 5yr,0.0061253
Dividend Growth 5yr,0.0161374
Short Int Current Month,94202700.0
Short Int Prev Month,94890966.0
Short Int Pct of Float,0.013236699999999999
Days to Cover,2.1207
Float,7117.064
Shares Outstanding,7127.0
Institutions Holding Shares,2862.0
FCF Growth 5yr,6.822212883286055
"Price/Earnings (TTM, GAAP)",7.04
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5622
Operating Profit Margin (TTM),0.1673
Net Profit Margin (TTM),0.166
Annual Dividend Yield,0.0581
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.013200000000000002
EPS Growth (MRQ),0.3533
EPS Growth (TTM),5.3602
Revenue Growth (MRQ),0.013500000000000002
Revenue Growth (TTM),-0.12300000000000001
Return On Equity (TTM),0.1396
Return On Assets (TTM),0.0444
Return On Investment (TTM),0.0538
Revenue Per Employee (TTM),642148.0
Total Debt/Total Capital (MRQ),0.48210000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.54
Interest Coverage (MRQ),5.65
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-05-28 00:00:00
theStreet since,2022-11-23 00:00:00
cfra since,2021-05-28 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
