,CARG
% Above Low,0.4177
% Held by Institutions,0.9257
52-Wk Range,['9.14 - 50.03']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.6
Bid,12.57
Bid Size,1000.0
Closing Price,12.96
Day Change $,-0.24
Day Change %,-0.0182
Day High,13.38
Day Low,12.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,0.78
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.2
Short Interest,0.09210000000000002
Today's Open,12.99
Volume,393059.0
Volume 10-day Avg,1732524.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1089108910891089
Growth 1yr High Est,-0.009615384615384581
Growth 1yr Consensus Est,-0.05926313785224674
Growth 2yr Low Est,-0.36001100110011003
Growth 2yr High Est,0.1262602688573563
Growth 2yr Consensus Est,-0.11687536612137686
Growth 5yr Low Est,-0.24000733406674002
Growth 5yr High Est,0.08417351257157087
Growth 5yr Consensus Est,-0.07791691074758457
Growth 5yr Actual/Est,0.22231871595474548
Growth 3yr Historic,0.38358195542774987
Price/Earnings (TTM),
Price/Sales (TTM),0.90265
Price/Book (MRQ),2.66637
Price/Cash Flow (TTM),13.82573
5yr Low,9.14
5yr High,57.25
5yr Avg Return,-0.07451666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.36859610000000004
Dividend Growth 5yr,
Short Int Current Month,8368750.0
Short Int Prev Month,6628204.0
Short Int Pct of Float,0.09207570000000001
Days to Cover,2.13733
Float,101.4058
Shares Outstanding,118.9354
Institutions Holding Shares,295.0
FCF Growth 5yr,0.2717196090815408
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41009999999999996
Operating Profit Margin (TTM),0.0719
Net Profit Margin (TTM),0.0526
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),10.2651
EPS Growth (TTM),-1.5428
Revenue Growth (MRQ),-0.16579999999999998
Revenue Growth (TTM),1.2363
Return On Equity (TTM),-0.0775
Return On Assets (TTM),0.09970000000000001
Return On Investment (TTM),0.1358
Revenue Per Employee (TTM),1419479.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.87
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-16 00:00:00
ford since,2022-05-06 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-23 00:00:00
