,JOBY
% Above Low,0.13570000000000002
% Held by Institutions,0.2807
52-Wk Range,['3.61 - 8.46']
Annual Dividend $,
Annual Dividend %,
Ask,4.23
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,4.05
Bid Size,100.0
Closing Price,4.1
Day Change $,0.03
Day Change %,0.0074
Day High,4.11
Day Low,4.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.32
Ex-dividend Date,No dividend
Historical Volatility,0.8320000000000001
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.07
Short Interest,0.0888
Today's Open,4.07
Volume,1093243.0
Volume 10-day Avg,2435046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.19402985074626855
Growth 2yr High Est,0.10256410256410242
Growth 2yr Consensus Est,0.1482969766551855
Growth 5yr Low Est,0.19402985074626855
Growth 5yr High Est,0.10256410256410242
Growth 5yr Consensus Est,0.1482969766551855
Growth 5yr Actual/Est,0.01983606557377049
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.15421
Price/Cash Flow (TTM),
5yr Low,3.61
5yr High,17.0
5yr Avg Return,-0.25343333333333334
Short Int Current Month,31897417.0
Short Int Prev Month,31262395.0
Short Int Pct of Float,0.0887827
Days to Cover,8.99867
Float,359.3702
Shares Outstanding,621.7314
Institutions Holding Shares,190.0
FCF Growth 5yr,0.24055890139943556
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5902000000000001
EPS Growth (TTM),0.8573000000000001
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.151
Return On Assets (TTM),-0.1326
Return On Investment (TTM),-0.1344
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-07 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
