,JOBY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-34.24,Valuation,
Price/Sales (TTM),,0.63,Valuation,
Price/Book (MRQ),2.15,2.71,Valuation,0.7933579335793358
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),,0.5245000000000001,Profitability,
Operating Profit Margin (TTM),,0.029500000000000002,Profitability,
Net Profit Margin (TTM),,0.003,Profitability,
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.5902000000000001,0.541,Gowth rates,-1.0909426987061
EPS Growth (TTM),0.8573000000000001,16.999000000000002,Gowth rates,0.05043237837519854
Revenue Growth (MRQ),,0.46299999999999997,Gowth rates,
Revenue Growth (TTM),,0.8456999999999999,Gowth rates,
Return On Equity (TTM),-0.151,-0.010900000000000002,Effectiveness,13.85321100917431
Return On Assets (TTM),-0.1326,-0.002,Effectiveness,66.3
Return On Investment (TTM),-0.1344,-0.0021,Effectiveness,64.0
Revenue Per Employee (TTM),0.0,453436.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.6829000000000001,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,-0.0014000000000000002,Financial strength,7.142857142857142
Quick Ratio (MRQ),,0.87,Financial strength,
Interest Coverage (MRQ),,23.47,Financial strength,
