,SEAT
% Above Low,0.022799999999999997
% Held by Institutions,1.0248
52-Wk Range,['7.02 - 12.52']
Annual Dividend $,
Annual Dividend %,
Ask,7.21
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,
Bid,7.18
Bid Size,900.0
Day Change $,-0.28
Day Change %,-0.0375
Day High,7.38
Day Low,7.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.44
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),100.0
Last (time),1:55p ET 11/28/22
Market Cap,583.7M
"P/E Ratio (TTM, GAAP)",16.94
Prev Close,7.46
Price,7.18
Short Interest,0.0863
Today's Open,7.36
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6538461538461539
Growth 2yr High Est,1.0270270270270272
Growth 2yr Consensus Est,0.18659043659043667
Growth 5yr Low Est,-0.6538461538461539
Growth 5yr High Est,1.0270270270270272
Growth 5yr Consensus Est,0.18659043659043667
Growth 5yr Actual/Est,-0.025401069518716513
Growth 3yr Historic,0.0
Price/Earnings (TTM),16.94299
Price/Sales (TTM),2.48383
Price/Book (MRQ),
Price/Cash Flow (TTM),28.42654
5yr Low,7.02
5yr High,14.35
5yr Avg Return,-0.09676666666666668
Short Int Current Month,6566765.0
Short Int Prev Month,6549663.0
Short Int Pct of Float,0.086311
Days to Cover,16.2943
Float,65.98155
Shares Outstanding,199.4964
Institutions Holding Shares,121.0
FCF Growth 5yr,3.1061853438122604
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",16.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7690000000000001
Operating Profit Margin (TTM),0.0981
Net Profit Margin (TTM),0.0772
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.233
EPS Growth (TTM),2.6271
Revenue Growth (MRQ),0.0618
Revenue Growth (TTM),1.1357
Return On Equity (TTM),
Return On Assets (TTM),0.0357
Return On Investment (TTM),0.1304
Revenue Per Employee (TTM),1393423.0
Total Debt/Total Capital (MRQ),0.35850000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.006500000000000001
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),7.87
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
