,SEAT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.94,2519.53,Valuation,0.006723476203895171
Price/Sales (TTM),2.48,7.6,Valuation,0.3263157894736842
Price/Book (MRQ),,10.0,Valuation,
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.7690000000000001,0.4335,Profitability,1.7739331026528262
Operating Profit Margin (TTM),0.0981,0.0117,Profitability,8.384615384615385
Net Profit Margin (TTM),0.0772,-0.0141,Profitability,-5.475177304964539
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-0.233,-0.26239999999999997,Gowth rates,0.8879573170731709
EPS Growth (TTM),2.6271,-0.6279,Gowth rates,-4.183946488294314
Revenue Growth (MRQ),0.0618,0.1585,Gowth rates,0.3899053627760252
Revenue Growth (TTM),1.1357,0.12369999999999999,Gowth rates,9.181083265966047
Return On Equity (TTM),,0.0635,Effectiveness,
Return On Assets (TTM),0.0357,-0.1317,Effectiveness,-0.27107061503416857
Return On Investment (TTM),0.1304,0.0197,Effectiveness,6.619289340101522
Revenue Per Employee (TTM),1393423.0,354479.0,Effectiveness,3.930904228459232
Total Debt/Total Capital (MRQ),0.35850000000000004,0.39840000000000003,Financial strength,0.8998493975903614
Change in Debt/Total Capital Quarter over Quarter,-0.006500000000000001,0.4575,Financial strength,-0.014207650273224045
Quick Ratio (MRQ),0.86,0.68,Financial strength,1.2647058823529411
Interest Coverage (MRQ),7.87,-0.6,Financial strength,-13.116666666666667
