,VXRT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1056.6,45.03,Valuation,23.46435709526982
Price/Book (MRQ),1.34,12.61,Valuation,0.1062648691514671
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-653.3019,-4.7459,Profitability,137.65606102109192
Net Profit Margin (TTM),-657.8868,-4.5467,Profitability,144.69544944685154
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0077,-0.0014000000000000002,Gowth rates,-5.499999999999999
EPS Growth (TTM),-0.5347999999999999,0.027200000000000002,Gowth rates,-19.661764705882348
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),-0.8645999999999999,0.9747,Gowth rates,-0.88704216682056
Return On Equity (TTM),-0.6393,0.1967,Effectiveness,-3.250127097102186
Return On Assets (TTM),-0.5024000000000001,0.0016,Effectiveness,-314.0
Return On Investment (TTM),-0.5475,0.0219,Effectiveness,-25.0
Revenue Per Employee (TTM),1445.46,1476201.0,Effectiveness,0.0009791756000707222
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
