,VXRT
% Above Low,0.008199999999999999
% Held by Institutions,0.3614
52-Wk Range,['1.22 - 8.13']
Annual Dividend $,
Annual Dividend %,
Ask,1.24
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.7
Bid,1.22
Bid Size,200.0
Closing Price,1.23
Day Change $,-0.05
Day Change %,-0.0391
Day High,1.3
Day Low,1.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.83
Ex-dividend Date,No dividend
Historical Volatility,0.863
Last (size),52.0
Last (time),3:59p ET 11/28/22
Market Cap,161.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.28
Short Interest,0.1892
Today's Open,1.26
Volume,2780381.0
Volume 10-day Avg,2686708.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5593220338983051
Growth 1yr High Est,0.10526315789473695
Growth 1yr Consensus Est,0.33229259589652105
Growth 2yr Low Est,0.4372697126013264
Growth 2yr High Est,0.028822055137844638
Growth 2yr Consensus Est,0.23304588386958552
Growth 5yr Low Est,0.4372697126013264
Growth 5yr High Est,0.028822055137844638
Growth 5yr Consensus Est,0.23304588386958552
Growth 5yr Actual/Est,0.15660892374761756
Growth 3yr Historic,0.007428940568475456
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),1056.6
Price/Book (MRQ),1.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-653.3019
Net Profit Margin (TTM),-657.8868
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0077
EPS Growth (TTM),-0.5347999999999999
Revenue Growth (MRQ),
Revenue Growth (TTM),-0.8645999999999999
Return On Equity (TTM),-0.6393
Return On Assets (TTM),-0.5024000000000001
Return On Investment (TTM),-0.5475
Revenue Per Employee (TTM),1445.46
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
theStreet,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
cfra since,
theStreet since,2019-05-20 00:00:00
ford since,
researchTeam since,
marketEdge opinion since,
