,VEEV
% Above Low,0.2361
% Held by Institutions,0.9096
52-Wk Range,['151.02 - 296.66']
Annual Dividend $,
Annual Dividend %,
Ask,199.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,160.03
Bid Size,100.0
Closing Price,186.67
Day Change $,1.01
Day Change %,0.0054
Day High,188.13
Day Low,184.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.77
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,29.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",67.09
Prev Close,185.66
Short Interest,0.0151
Today's Open,184.72
Volume,819253.0
Volume 10-day Avg,651503.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.10773480662983426
Growth 1yr High Est,0.11497326203208558
Growth 1yr Consensus Est,0.11135403433095992
Growth 2yr Low Est,0.09002700431242339
Growth 2yr High Est,0.14381756626784137
Growth 2yr Consensus Est,0.11692228529013238
Growth 5yr Low Est,0.19083835438138308
Growth 5yr High Est,0.2238342881844257
Growth 5yr Consensus Est,0.20733632128290438
Growth 5yr Actual/Est,0.20744946724910662
Growth 3yr Historic,0.1527933091044637
Price/Earnings (TTM),67.08994
Price/Sales (TTM),14.40807
Price/Book (MRQ),8.88398
Price/Cash Flow (TTM),68.33152
5yr Low,52.17
5yr High,343.96
5yr Avg Return,0.28191666666666676
EPS Growth 5yr,0.40264560000000005
Revenue Growth 5yr,0.2744204
Dividend Growth 5yr,
Short Int Current Month,2099393.0
Short Int Prev Month,2751616.0
Short Int Pct of Float,0.0150519
Days to Cover,1.53423
Float,139.4948
Shares Outstanding,155.2814
Institutions Holding Shares,1026.0
FCF Growth 5yr,-0.03330854624382806
"Price/Earnings (TTM, GAAP)",67.09
"PEG Ratio (TTM, GAAP)",4.99
Gross Profit Margin (TTM),0.7218000000000001
Operating Profit Margin (TTM),0.24050000000000002
Net Profit Margin (TTM),0.1967
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0974
EPS Growth (TTM),-0.0449
Revenue Growth (MRQ),0.0576
Revenue Growth (TTM),0.2029
Return On Equity (TTM),0.1343
Return On Assets (TTM),0.1054
Return On Investment (TTM),0.1311
Revenue Per Employee (TTM),365000.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-06-01 00:00:00
theStreet since,2022-01-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-01 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
