,VEEV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",67.09,-5.17,Valuation,-12.97678916827853
Price/Sales (TTM),14.41,11.27,Valuation,1.2786157941437446
Price/Book (MRQ),8.88,5.79,Valuation,1.533678756476684
"PEG Ratio (TTM, GAAP)",4.99,0.15,Valuation,33.26666666666667
Gross Profit Margin (TTM),0.7218000000000001,0.6652,Profitability,1.0850871918220086
Operating Profit Margin (TTM),0.24050000000000002,-0.46950000000000003,Profitability,-0.5122470713525027
Net Profit Margin (TTM),0.1967,-0.4687,Profitability,-0.41967143161937276
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-0.0974,-0.6163000000000001,Gowth rates,0.15803991562550704
EPS Growth (TTM),-0.0449,-0.35350000000000004,Gowth rates,0.12701555869872702
Revenue Growth (MRQ),0.0576,0.24050000000000002,Gowth rates,0.2395010395010395
Revenue Growth (TTM),0.2029,0.3728,Gowth rates,0.5442596566523604
Return On Equity (TTM),0.1343,-0.09480000000000001,Effectiveness,-1.4166666666666665
Return On Assets (TTM),0.1054,-0.1218,Effectiveness,-0.8653530377668308
Return On Investment (TTM),0.1311,-0.049,Effectiveness,-2.6755102040816325
Revenue Per Employee (TTM),365000.0,454654.0,Effectiveness,0.802808289380496
Total Debt/Total Capital (MRQ),0.0,0.2084,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.009000000000000001,Financial strength,
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),,-7.93,Financial strength,
