,REPL
% Above Low,0.5226
% Held by Institutions,0.8270000000000001
52-Wk Range,['13.05 - 30.89']
Annual Dividend $,
Annual Dividend %,
Ask,19.86
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,19.82
Bid Size,100.0
Day Change $,-0.12
Day Change %,-0.006
Day High,20.24
Day Low,19.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.74
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),100.0
Last (time),12:33p ET 11/28/22
Market Cap,986.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,19.99
Price,19.87
Short Interest,0.0398
Today's Open,19.9
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.3911290322580645
Growth 1yr High Est,0.21698113207547176
Growth 1yr Consensus Est,0.30405508216676813
Growth 2yr Low Est,0.28686886395511924
Growth 2yr High Est,0.06004095363463513
Growth 2yr Consensus Est,0.17345490879487718
Growth 5yr Low Est,0.29072234909398875
Growth 5yr High Est,0.12238024359956068
Growth 5yr Consensus Est,0.20655129634677472
Growth 5yr Actual/Est,0.22627030185497404
Growth 3yr Historic,0.1069480519480519
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.58881
Price/Cash Flow (TTM),
5yr Low,8.58
5yr High,54.85
5yr Avg Return,0.22756
Short Int Current Month,1806256.0
Short Int Prev Month,2006969.0
Short Int Pct of Float,0.0398403
Days to Cover,5.39181
Float,45.3187
Shares Outstanding,49.73941
Institutions Holding Shares,164.0
FCF Growth 5yr,0.2572742110637541
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0097
EPS Growth (TTM),-0.4058
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.34869999999999995
Return On Assets (TTM),-0.3123
Return On Investment (TTM),-0.32630000000000003
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0652
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
