,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,23.55,18.25,54.85,46.64,30.89,,,,,
low,9.61,8.88,8.58,24.85,13.05,,,,,
change,-0.375,0.4569,1.6112000000000002,-0.28,-0.27530000000000004,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,132275.0,105948.0,112245.0,88930.0,Balance Sheet
Short Term Investments,,,,,,287897.0,289707.0,282837.0,282890.0,Balance Sheet
Cash and Short Term Invs,,,,,,420172.0,395655.0,395082.0,371820.0,Balance Sheet
"Total Receivables, Net",,,,,,2210.0,3055.0,2825.0,2589.0,Balance Sheet
Prepaid Expenses,,,,,,5413.0,5267.0,4040.0,4981.0,Balance Sheet
Total Current Assets,,,,,,427795.0,403977.0,401947.0,379390.0,Balance Sheet
Buildings,,,,,,785.0,785.0,1736.0,1696.0,Balance Sheet
Machinery/Equipment,,,,,,9088.0,9387.0,9728.0,10178.0,Balance Sheet
Construction in Progress,,,,,,869.0,1619.0,1277.0,1073.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,49355.0,48583.0,47697.0,46858.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,60097.0,60374.0,60438.0,59805.0,Balance Sheet
Accumulated Depreciation,,,,,,-4246.0,-4795.0,-5415.0,-6032.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,55851.0,55579.0,55023.0,53773.0,Balance Sheet
Intangibles - Net,,,,,,,,821.0,1296.0,Balance Sheet
Restricted Cash - LT,,,,,,1636.0,1636.0,1636.0,1636.0,Balance Sheet
Total Assets,,,,,,485282.0,461192.0,459427.0,436095.0,Balance Sheet
Accounts Payable,,,,,,3922.0,3732.0,4482.0,3996.0,Balance Sheet
Accrued Expenses,,,,,,10899.0,13142.0,12203.0,14425.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,2543.0,2562.0,2581.0,2600.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,927.0,1320.0,1048.0,2516.0,Balance Sheet
Total Current Liabilities,,,,,,18291.0,20756.0,20314.0,23537.0,Balance Sheet
Total Long Term Debt,,,,,,24501.0,24406.0,24310.0,24206.0,Balance Sheet
Total Debt,,,,,,27044.0,26968.0,26891.0,26806.0,Balance Sheet
"Other Liabilities, Total",,,,,,4981.0,4801.0,4541.0,4280.0,Balance Sheet
