,PETQ
% Above Low,0.7417
% Held by Institutions,0.9618000000000001
52-Wk Range,['6.66 - 25.40']
Annual Dividend $,
Annual Dividend %,
Ask,11.6
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.7
Bid,11.56
Bid Size,300.0
Day Change $,0.06
Day Change %,0.0052
Day High,11.84
Day Low,11.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,0.725
Last (size),100.0
Last (time),10:31a ET 11/28/22
Market Cap,336.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.54
Price,11.6
Short Interest,0.0987
Today's Open,11.59
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.06249999999999978
Growth 1yr High Est,0.18965517241379315
Growth 1yr Consensus Est,0.12607758620689646
Growth 2yr Low Est,0.05225840336134446
Growth 2yr High Est,0.141929035482259
Growth 2yr Consensus Est,0.09709371942180173
Growth 5yr Low Est,0.05225840336134446
Growth 5yr High Est,0.141929035482259
Growth 5yr Consensus Est,0.09709371942180173
Growth 5yr Actual/Est,0.10318292339608276
Growth 3yr Historic,0.0401732214838218
Price/Earnings (TTM),
Price/Sales (TTM),0.36107
Price/Book (MRQ),1.57884
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,46.0
5yr Avg Return,-0.037349999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.3603669
Dividend Growth 5yr,
Short Int Current Month,2823497.0
Short Int Prev Month,2673115.0
Short Int Pct of Float,0.09865180000000001
Days to Cover,4.45314
Float,28.73529
Shares Outstanding,29.22601
Institutions Holding Shares,204.0
FCF Growth 5yr,1.7960407993573455
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.22190000000000001
Operating Profit Margin (TTM),-0.0281
Net Profit Margin (TTM),-0.0602
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-11.646199999999999
EPS Growth (TTM),-3.6736000000000004
Revenue Growth (MRQ),-0.1678
Revenue Growth (TTM),0.037700000000000004
Return On Equity (TTM),-0.2341
Return On Assets (TTM),-0.0695
Return On Investment (TTM),-0.08070000000000001
Revenue Per Employee (TTM),484225.0
Total Debt/Total Capital (MRQ),0.6786
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.63
Interest Coverage (MRQ),0.83
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-10-15 00:00:00
theStreet since,2021-11-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
