,SOFI
% Above Low,0.0037
% Held by Institutions,0.3128
52-Wk Range,['4.45 - 18.69']
Annual Dividend $,
Annual Dividend %,
Ask,4.47
Ask Size,52400.0
B/A Ratio,0.7423664122137404
B/A Size,38900x52400
Beta,
Bid,4.46
Bid Size,38900.0
Day Change $,-0.1336
Day Change %,-0.028999999999999998
Day High,4.63
Day Low,4.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.58
Ex-dividend Date,No dividend
Historical Volatility,0.816
Last (size),150.0
Last (time),2:52p ET 11/28/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.6
Price,4.47
Short Interest,0.11320000000000001
Today's Open,4.54
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.15555555555555556
Growth 2yr High Est,-0.5428571428571428
Growth 2yr Consensus Est,-0.3492063492063492
Growth 5yr Low Est,-0.15555555555555556
Growth 5yr High Est,-0.5428571428571428
Growth 5yr Consensus Est,-0.3492063492063492
Growth 5yr Actual/Est,-0.4923809523809524
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.04358
Price/Book (MRQ),0.82335
Price/Cash Flow (TTM),
5yr Low,4.51
5yr High,28.26
5yr Avg Return,-0.11189999999999997
Short Int Current Month,93261515.0
Short Int Prev Month,99240324.0
Short Int Pct of Float,0.113177
Days to Cover,1.33835
Float,870.773
Shares Outstanding,927.9383
Institutions Holding Shares,549.0
FCF Growth 5yr,0.7080450965403915
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.2775
Net Profit Margin (TTM),-0.2791
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.209
EPS Growth (TTM),0.15960000000000002
Revenue Growth (MRQ),0.3246
Revenue Growth (TTM),0.5916
Return On Equity (TTM),-0.0916
Return On Assets (TTM),-0.0327
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-04 00:00:00
theStreet since,2022-08-04 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
