,SOFI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,8.59,Valuation,
Price/Sales (TTM),3.04,1.88,Valuation,1.6170212765957448
Price/Book (MRQ),0.82,3.02,Valuation,0.271523178807947
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),-0.2775,0.2543,Profitability,-1.0912308297286668
Net Profit Margin (TTM),-0.2791,0.19039999999999999,Profitability,-1.4658613445378152
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),0.209,-0.1573,Gowth rates,-1.3286713286713288
EPS Growth (TTM),0.15960000000000002,-0.04820000000000001,Gowth rates,-3.3112033195020745
Revenue Growth (MRQ),0.3246,0.2511,Gowth rates,1.2927120669056154
Revenue Growth (TTM),0.5916,0.21670000000000003,Gowth rates,2.7300415320719886
Return On Equity (TTM),-0.0916,0.2596,Effectiveness,-0.3528505392912173
Return On Assets (TTM),-0.0327,0.0326,Effectiveness,-1.0030674846625767
Return On Investment (TTM),,0.0432,Effectiveness,
Revenue Per Employee (TTM),,448656.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.4919,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0012,Financial strength,-1.5
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),,16.82,Financial strength,
