,H
% Below High,0.1101
% Held by Institutions,1.0372
52-Wk Range,['70.12 - 108.10']
Annual Dividend $,
Annual Dividend %,
Ask,98.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,94.5
Bid Size,100.0
Closing Price,96.2
Day Change $,-0.08
Day Change %,-0.0008
Day High,97.46
Day Low,95.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.17
Ex-dividend Date,No dividend
Historical Volatility,0.428
Last (size),48.0
Last (time),5:00p ET 11/25/22
Market Cap,10.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",82.45
Prev Close,96.28
Short Interest,0.0717
Today's Open,96.27
Volume,377621.0
Volume 10-day Avg,635259.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8750000000000002
Growth 2yr High Est,1.2777777777777777
Growth 2yr Consensus Est,1.0763888888888888
Growth 5yr Low Est,0.8750000000000002
Growth 5yr High Est,1.2777777777777777
Growth 5yr Consensus Est,1.0763888888888888
Growth 5yr Actual/Est,-0.8816108514798723
Growth 3yr Historic,-0.9159439927732612
Price/Earnings (TTM),82.44631
Price/Sales (TTM),1.91575
Price/Book (MRQ),3.00168
Price/Cash Flow (TTM),18.97759
5yr Low,24.02
5yr High,108.1
5yr Avg Return,0.06771666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.06621400000000001
Dividend Growth 5yr,
Short Int Current Month,3373781.0
Short Int Prev Month,3886851.0
Short Int Pct of Float,0.0716899
Days to Cover,3.69271
Float,47.24428
Shares Outstanding,107.1188
Institutions Holding Shares,396.0
FCF Growth 5yr,0.23724138676700343
"Price/Earnings (TTM, GAAP)",82.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5533
Operating Profit Margin (TTM),0.041299999999999996
Net Profit Margin (TTM),0.0245
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.863
EPS Growth (TTM),1.2968000000000002
Revenue Growth (MRQ),0.0391
Revenue Growth (TTM),1.2639
Return On Equity (TTM),0.0376
Return On Assets (TTM),0.0121
Return On Investment (TTM),0.0146
Revenue Per Employee (TTM),122250.0
Total Debt/Total Capital (MRQ),0.5246999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),2.13
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-28 00:00:00
researchTeam since,2022-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-08 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
