,H,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",82.45,103.69,Valuation,0.795158645963931
Price/Sales (TTM),1.92,5.63,Valuation,0.3410301953818828
Price/Book (MRQ),3.0,8.51,Valuation,0.35252643948296125
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.5533,0.4058,Profitability,1.3634795465746674
Operating Profit Margin (TTM),0.041299999999999996,0.1648,Profitability,0.2506067961165048
Net Profit Margin (TTM),0.0245,0.0801,Profitability,0.3058676654182272
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-0.863,0.3321,Gowth rates,-2.598614875037639
EPS Growth (TTM),1.2968000000000002,2.1422,Gowth rates,0.605358976752871
Revenue Growth (MRQ),0.0391,0.38689999999999997,Gowth rates,0.10105970535021971
Revenue Growth (TTM),1.2639,0.7726000000000001,Gowth rates,1.6359047372508413
Return On Equity (TTM),0.0376,0.1915,Effectiveness,0.19634464751958225
Return On Assets (TTM),0.0121,0.0764,Effectiveness,0.15837696335078535
Return On Investment (TTM),0.0146,0.1012,Effectiveness,0.1442687747035573
Revenue Per Employee (TTM),122250.0,286353.0,Effectiveness,0.42692061895632316
Total Debt/Total Capital (MRQ),0.5246999999999999,1.1601000000000001,Financial strength,0.45228859581070585
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.002,Financial strength,-0.15
Quick Ratio (MRQ),0.89,0.8,Financial strength,1.1125
Interest Coverage (MRQ),2.13,40.35,Financial strength,0.05278810408921933
