,AWK
% Above Low,0.2454
% Held by Institutions,0.8590000000000001
52-Wk Range,['122.77 - 189.65']
Annual Dividend $,2.62
Annual Dividend %,0.0171
Ask,153.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,134.34
Bid Size,100.0
Closing Price,152.9
Day Change $,1.64
Day Change %,0.0108
Day High,153.37
Day Low,151.51
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",7.24
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.27
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,27.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.11
Prev Close,151.26
Short Interest,0.0149
Today's Open,151.97
Volume,351534.0
Volume 10-day Avg,788600.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.14507772020725396
Growth 1yr High Est,0.14540816326530615
Growth 1yr Consensus Est,0.14524294173628005
Growth 2yr Low Est,0.1098691768457084
Growth 2yr High Est,0.11390675423844376
Growth 2yr Consensus Est,0.11188796554207608
Growth 5yr Low Est,0.07373681683511046
Growth 5yr High Est,0.0718182419840867
Growth 5yr Consensus Est,0.07277752940959858
Growth 5yr Actual/Est,0.0733393000932922
Growth 3yr Historic,0.025251326593506263
Price/Earnings (TTM),21.11365
Price/Sales (TTM),7.29315
Price/Book (MRQ),3.58358
Price/Cash Flow (TTM),14.16275
5yr Low,76.04
5yr High,189.65
5yr Avg Return,0.1106
EPS Growth 5yr,0.2155915
Revenue Growth 5yr,0.0354356
Dividend Growth 5yr,0.09982300000000001
Short Int Current Month,2694667.0
Short Int Prev Month,2940319.0
Short Int Pct of Float,0.0148944
Days to Cover,2.69567
Float,180.9477
Shares Outstanding,181.8279
Institutions Holding Shares,1425.0
FCF Growth 5yr,0.6125752544807065
"Price/Earnings (TTM, GAAP)",21.11
"PEG Ratio (TTM, GAAP)",2.55
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5192
Net Profit Margin (TTM),0.3458
Annual Dividend Yield,0.0171
Dividend Change %,0.0965
"Dividend Growth Rate, 3 Years",0.09820000000000001
EPS Growth (MRQ),0.3624
EPS Growth (TTM),0.7327
Revenue Growth (MRQ),0.1547
Revenue Growth (TTM),-0.023100000000000002
Return On Equity (TTM),0.18030000000000002
Return On Assets (TTM),0.050199999999999995
Return On Investment (TTM),0.054400000000000004
Revenue Per Employee (TTM),595625.0
Total Debt/Total Capital (MRQ),0.6042000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),4.53
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2020-08-07 00:00:00
ford since,2021-08-06 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2010-11-02 00:00:00
