,PLTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),8.27,9.39,Valuation,0.880724174653887
Price/Book (MRQ),6.34,12.63,Valuation,0.5019794140934283
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7859,0.7206,Profitability,1.0906189286705523
Operating Profit Margin (TTM),-0.11050000000000001,0.2172,Profitability,-0.5087476979742174
Net Profit Margin (TTM),-0.3064,0.1553,Profitability,-1.972955569864778
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3153,-0.0752,Gowth rates,-4.19281914893617
EPS Growth (TTM),0.0047,-0.2824,Gowth rates,-0.016643059490084988
Revenue Growth (MRQ),0.0103,0.15560000000000002,Gowth rates,0.06619537275064266
Revenue Growth (TTM),0.2788,0.1906,Gowth rates,1.4627492130115425
Return On Equity (TTM),-0.242,0.2189,Effectiveness,-1.1055276381909547
Return On Assets (TTM),-0.1714,0.10740000000000001,Effectiveness,-1.5959031657355678
Return On Investment (TTM),-0.2168,0.1387,Effectiveness,-1.5630857966834897
Revenue Per Employee (TTM),626751.0,667721.0,Effectiveness,0.9386420376175079
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
