,PLTR
% Above Low,0.1266
% Held by Institutions,0.3298
52-Wk Range,['6.44 - 21.40']
Annual Dividend $,
Annual Dividend %,
Ask,7.26
Ask Size,7500.0
B/A Ratio,1.9066666666666667
B/A Size,14300x7500
Beta,
Bid,7.25
Bid Size,14300.0
Day Change $,-0.025
Day Change %,-0.0034000000000000002
Day High,7.4
Day Low,7.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.73
Last (size),150.0
Last (time),11:03a ET 11/28/22
Market Cap,15.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.28
Price,7.26
Short Interest,0.0696
Today's Open,7.23
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3333333333333335
Growth 2yr High Est,2.5
Growth 2yr Consensus Est,1.4166666666666667
Growth 5yr Low Est,0.3333333333333335
Growth 5yr High Est,2.5
Growth 5yr Consensus Est,1.4166666666666667
Growth 5yr Actual/Est,0.4115384615384614
Growth 3yr Historic,-0.11666666666666665
Price/Earnings (TTM),
Price/Sales (TTM),8.2748
Price/Book (MRQ),6.34369
Price/Cash Flow (TTM),
5yr Low,6.44
5yr High,45.0
5yr Avg Return,0.1703333333333333
Short Int Current Month,121489083.0
Short Int Prev Month,119568239.0
Short Int Pct of Float,0.0695704
Days to Cover,2.42768
Float,1754.715
Shares Outstanding,2080.195
Institutions Holding Shares,987.0
FCF Growth 5yr,0.7802922415071949
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7859
Operating Profit Margin (TTM),-0.11050000000000001
Net Profit Margin (TTM),-0.3064
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3153
EPS Growth (TTM),0.0047
Revenue Growth (MRQ),0.0103
Revenue Growth (TTM),0.2788
Return On Equity (TTM),-0.242
Return On Assets (TTM),-0.1714
Return On Investment (TTM),-0.2168
Revenue Per Employee (TTM),626751.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-16 00:00:00
theStreet since,2021-12-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-12-16 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
