,ARQT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1510.17,45.03,Valuation,33.53697534976682
Price/Book (MRQ),4.04,12.61,Valuation,0.3203806502775575
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.629,0.5874,Profitability,1.0708205652025877
Operating Profit Margin (TTM),-419.98480000000006,-4.7459,Profitability,88.4942371309973
Net Profit Margin (TTM),-428.6414,-4.5467,Profitability,94.27527657421865
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.43920000000000003,-0.0014000000000000002,Gowth rates,313.71428571428567
EPS Growth (TTM),-0.6684,0.027200000000000002,Gowth rates,-24.573529411764703
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.9806999999999999,0.1967,Effectiveness,-4.98576512455516
Return On Assets (TTM),-0.6937000000000001,0.0016,Effectiveness,-433.56250000000006
Return On Investment (TTM),-0.7401000000000001,0.0219,Effectiveness,-33.79452054794521
Revenue Per Employee (TTM),4931.97,1476201.0,Effectiveness,0.003340988117471808
Total Debt/Total Capital (MRQ),0.4208,0.4675,Financial strength,0.9001069518716577
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),13.27,2.06,Financial strength,6.441747572815534
Interest Coverage (MRQ),-21.38,2.69,Financial strength,-7.947955390334572
