,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.88,38.49,27.4,,,,,
low,17.1,14.16,13.59,,,,,
change,0.22039999999999998,-0.2481,-0.11630000000000001,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,96.0,70.0,62.0,82.0,Balance Sheet
Short Term Investments,,,,291.0,274.0,221.0,395.0,Balance Sheet
Cash and Short Term Invs,,,,387.0,344.0,282.0,477.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,2.0,Balance Sheet
Other Receivables,,,,0.0,0.0,,,Balance Sheet
"Total Receivables, Net",,,,0.0,0.0,,2.0,Balance Sheet
Invent. - Finished Goods,,,,,,,1.0,Balance Sheet
Invent. - Work In Progress,,,,,,,0.0,Balance Sheet
Invent. - Raw Materials,,,,,,,3.0,Balance Sheet
Total Inventory,,,,,,,4.0,Balance Sheet
Prepaid Expenses,,,,14.0,14.0,12.0,12.0,Balance Sheet
"Other Curr. Assets, Total",,,,2.0,1.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,403.0,359.0,295.0,497.0,Balance Sheet
Buildings,,,,2.0,2.0,2.0,2.0,Balance Sheet
Machinery/Equipment,,,,1.0,1.0,1.0,1.0,Balance Sheet
Construction in Progress,,,,0.0,0.0,0.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,3.0,3.0,3.0,3.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,6.0,6.0,6.0,6.0,Balance Sheet
Accumulated Depreciation,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,5.0,5.0,5.0,5.0,Balance Sheet
Intangibles - Net,,,,,,,7.0,Balance Sheet
Other Long Term Assets,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,,408.0,364.0,300.0,509.0,Balance Sheet
Accounts Payable,,,,7.0,12.0,8.0,9.0,Balance Sheet
Accrued Expenses,,,,26.0,20.0,19.0,28.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,33.0,33.0,27.0,37.0,Balance Sheet
Total Long Term Debt,,,,72.0,73.0,73.0,197.0,Balance Sheet
Total Debt,,,,72.0,73.0,73.0,197.0,Balance Sheet
"Other Liabilities, Total",,,,5.0,5.0,4.0,4.0,Balance Sheet
Total Liabilities,,,,110.0,110.0,105.0,238.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,,,,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,706.0,727.0,737.0,920.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-408.0,-473.0,-540.0,-648.0,Balance Sheet
"Other Equity, Total",,,,0.0,-1.0,-1.0,-2.0,Balance Sheet
Total Equity,,,,298.0,254.0,195.0,271.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,408.0,364.0,300.0,509.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,50.0,51.0,52.0,61.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,0.0,0.0,0.0,725.0,Income Statement
"Cost of Revenue, Total",,,,,,,269.0,Income Statement
Selling/Gen/Admin Expense,,,,15622.0,18207.0,22781.0,30132.0,Income Statement
Labor & Related Expense,,,,3106.0,3799.0,4841.0,5341.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,18728.0,22006.0,27622.0,35473.0,Income Statement
Research & Development,,,,52558.0,40622.0,38205.0,69731.0,Income Statement
Total Operating Expense,,,,71286.0,62628.0,65827.0,105473.0,Income Statement
Total Operating Income,,,,-71286.0,-62628.0,-65827.0,-104748.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-1838.0,-2000.0,-4899.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-40.0,142.0,421.0,1938.0,Income Statement
"Other, Net",,,,-40.0,142.0,421.0,1938.0,Income Statement
Income Before Tax,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Income After Tax,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Net Inc Before Extra Items,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Total Net Income,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Basic/Primary Weighted Average Shares,,,,50212.0,50514.0,51422.0,57092.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-1.42,-1.27,-1.31,-1.89,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-1.42,-1.27,-1.31,-1.89,Income Statement
Diluted Weighted Average Shares,,,,50212.0,50514.0,51422.0,57092.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-1.42,-1.27,-1.31,-1.89,Income Statement
Diluted EPS Incl. Extra. Items,,,,-1.42,-1.27,-1.31,-1.89,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,1838.0,2000.0,4899.0,Income Statement
"Depreciat/Amort, Suppl",,,,136.0,150.0,155.0,157.0,Income Statement
Normalzd Income Before Tax,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Normalized Income After Tax,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Normalzd Inc Avail to Common,,,,-71326.0,-64324.0,-67406.0,-107709.0,Income Statement
Basic Normalized EPS,,,,-1.42,-1.27,-1.31,-1.89,Income Statement
Diluted Normalized EPS,,,,-1.42,-1.27,-1.31,-1.89,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-206356.0,-64324.0,-131730.0,-239439.0,Cash Flow
Depreciation/Depletion,,,,454.0,150.0,305.0,462.0,Cash Flow
Amortization,,,,,,,125.0,Cash Flow
Purchased R&D,,,,,,,29630.0,Cash Flow
Other Non-Cash Items,,,,27655.0,7622.0,16465.0,25334.0,Cash Flow
Non-Cash Items,,,,27655.0,7622.0,16465.0,54964.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,1425.0,2989.0,6923.0,Cash Flow
Accounts Receivable,,,,,,,-2431.0,Cash Flow
