,DFS
% Above Low,0.24059999999999998
% Held by Institutions,0.8320000000000001
52-Wk Range,['87.64 - 130.81']
Annual Dividend $,2.4
Annual Dividend %,0.022099999999999998
Ask,114.9
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,92.4
Bid Size,200.0
Closing Price,108.73
Day Change $,0.07
Day Change %,0.0006
Day High,109.09
Day Low,108.05
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",15.37
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.409
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,29.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.08
Prev Close,108.66
Short Interest,0.015
Today's Open,108.33
Volume,682605.0
Volume 10-day Avg,1859343.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.0982694684796045
Growth 1yr High Est,-0.1433982683982684
Growth 1yr Consensus Est,-0.12083386843893645
Growth 2yr Low Est,-0.24036160195741707
Growth 2yr High Est,-0.0663295827146112
Growth 2yr Consensus Est,-0.15334559233601414
Growth 5yr Low Est,0.08177450628386135
Growth 5yr High Est,0.22120202086976865
Growth 5yr Consensus Est,0.151488263576815
Growth 5yr Actual/Est,0.7796893394792545
Growth 3yr Historic,0.8373133871757219
Price/Earnings (TTM),7.0754
Price/Sales (TTM),2.36886
Price/Book (MRQ),2.24549
Price/Cash Flow (TTM),6.02349
5yr Low,23.25
5yr High,135.69
5yr Avg Return,0.10893333333333331
EPS Growth 5yr,0.25360859999999996
Revenue Growth 5yr,0.0433186
Dividend Growth 5yr,0.1013871
Short Int Current Month,4072411.0
Short Int Prev Month,3206662.0
Short Int Pct of Float,0.015001800000000001
Days to Cover,2.46536
Float,271.5248
Shares Outstanding,273.2258
Institutions Holding Shares,1223.0
FCF Growth 5yr,0.23083464077966762
"Price/Earnings (TTM, GAAP)",7.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.45840000000000003
Net Profit Margin (TTM),0.3529
Annual Dividend Yield,0.0221
Dividend Change %,0.06820000000000001
"Dividend Growth Rate, 3 Years",0.0782
EPS Growth (MRQ),-0.10890000000000001
EPS Growth (TTM),-0.0808
Revenue Growth (MRQ),0.1516
Revenue Growth (TTM),0.10130000000000002
Return On Equity (TTM),0.3412
Return On Assets (TTM),0.0384
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-10-21 00:00:00
cfra since,2021-10-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-10-26 00:00:00
