,CPB
% Below High,0.0045000000000000005
% Held by Institutions,0.512
52-Wk Range,['39.85 - 53.28']
Annual Dividend $,1.48
Annual Dividend %,0.0279
Ask,56.5
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,0.4
Bid,50.0
Bid Size,1300.0
Closing Price,53.04
Day Change $,0.5
Day Change %,0.0095
Day High,53.11
Day Low,52.66
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",2.5
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.23600000000000002
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,15.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.18
Prev Close,52.54
Short Interest,0.068
Today's Open,52.76
Volume,911404.0
Volume 10-day Avg,2285511.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.021352313167259718
Growth 1yr High Est,-0.003389830508474634
Growth 1yr Consensus Est,0.008981241329392542
Growth 2yr Low Est,0.026355599092340642
Growth 2yr High Est,0.03912141127637497
Growth 2yr Consensus Est,0.03273850518435781
Growth 5yr Low Est,0.005358894313472001
Growth 5yr High Est,0.013766003651432546
Growth 5yr Consensus Est,0.009562448982452273
Growth 5yr Actual/Est,-0.0009180311014301001
Growth 3yr Historic,-0.01823503049646938
Price/Earnings (TTM),21.17661
Price/Sales (TTM),1.85695
Price/Book (MRQ),4.76102
Price/Cash Flow (TTM),14.53308
5yr Low,32.04
5yr High,57.54
5yr Avg Return,0.05406666666666667
EPS Growth 5yr,-0.0359245
Revenue Growth 5yr,0.0796354
Dividend Growth 5yr,0.011175999999999998
Short Int Current Month,13053904.0
Short Int Prev Month,13928884.0
Short Int Pct of Float,0.0680134
Days to Cover,5.19085
Float,192.1
Shares Outstanding,299.7584
Institutions Holding Shares,861.0
FCF Growth 5yr,0.7915079033616544
"Price/Earnings (TTM, GAAP)",21.18
"PEG Ratio (TTM, GAAP)",5.43
Gross Profit Margin (TTM),0.3074
Operating Profit Margin (TTM),0.1358
Net Profit Margin (TTM),0.0884
Annual Dividend Yield,0.0279
Dividend Change %,0.013700000000000002
"Dividend Growth Rate, 3 Years",0.0187
EPS Growth (MRQ),-0.4842
EPS Growth (TTM),-0.2429
Revenue Growth (MRQ),-0.0671
Revenue Growth (TTM),0.0101
Return On Equity (TTM),0.2335
Return On Assets (TTM),0.0641
Return On Investment (TTM),0.08
Revenue Per Employee (TTM),582449.0
Total Debt/Total Capital (MRQ),0.5907
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.25
Interest Coverage (MRQ),4.13
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2020-06-04 00:00:00
ford since,2022-09-09 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2019-12-05 00:00:00
