,HUM
% Below High,0.053099999999999994
% Held by Institutions,0.9401
52-Wk Range,['351.20 - 571.30']
Annual Dividend $,3.15
Annual Dividend %,0.0058
Ask,553.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,540.0
Bid Size,100.0
Closing Price,540.95
Day Change $,2.65
Day Change %,0.0049
Day High,545.3
Day Low,538.64
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",22.05
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.337
Last (size),80.0
Last (time),5:00p ET 11/25/22
Market Cap,68.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.54
Prev Close,538.3
Short Interest,0.021099999999999997
Today's Open,541.75
Volume,339402.0
Volume 10-day Avg,1117722.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.22363903874448243
Growth 1yr High Est,0.21745419479267136
Growth 1yr Consensus Est,0.2205466167685769
Growth 2yr Low Est,0.16793174382113907
Growth 2yr High Est,0.17288551323791979
Growth 2yr Consensus Est,0.17040862852952943
Growth 5yr Low Est,0.12136280957407275
Growth 5yr High Est,0.12617092431501076
Growth 5yr Consensus Est,0.12376686694454175
Growth 5yr Actual/Est,0.12078615391637304
Growth 3yr Historic,0.03751113598209288
Price/Earnings (TTM),24.53667
Price/Sales (TTM),0.74859
Price/Book (MRQ),4.21339
Price/Cash Flow (TTM),18.85585
5yr Low,208.25
5yr High,571.3
5yr Avg Return,0.14348333333333335
EPS Growth 5yr,0.4099127
Revenue Growth 5yr,0.08841950000000001
Dividend Growth 5yr,0.1927241
Short Int Current Month,2667167.0
Short Int Prev Month,2058438.0
Short Int Pct of Float,0.021112199999999998
Days to Cover,1.88752
Float,126.3665
Shares Outstanding,126.6003
Institutions Holding Shares,1403.0
FCF Growth 5yr,36.011754666014845
"Price/Earnings (TTM, GAAP)",24.54
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0435
Net Profit Margin (TTM),0.030699999999999998
Annual Dividend Yield,0.0058
Dividend Change %,-0.08199999999999999
"Dividend Growth Rate, 3 Years",0.138
EPS Growth (MRQ),0.7133
EPS Growth (TTM),0.0647
Revenue Growth (MRQ),-0.0365
Revenue Growth (TTM),0.12840000000000001
Return On Equity (TTM),0.1727
Return On Assets (TTM),0.058499999999999996
Return On Investment (TTM),
Revenue Per Employee (TTM),957958.0
Total Debt/Total Capital (MRQ),0.399
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.7
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2010-03-03 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-06-10 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
