,ZIP
% Above Low,0.24600000000000002
% Held by Institutions,0.9181
52-Wk Range,['13.78 - 30.49']
Annual Dividend $,
Annual Dividend %,
Ask,17.48
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,17.17
Day Change $,-0.03
Day Change %,-0.0017000000000000001
Day High,17.52
Day Low,16.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.629
Last (size),4.0
Last (time),7:00p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",36.94
Prev Close,17.2
Short Interest,0.0967
Today's Open,17.0
Volume,550994.0
Volume 10-day Avg,602232.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4
Growth 2yr High Est,0.595744680851064
Growth 2yr Consensus Est,0.097872340425532
Growth 5yr Low Est,-0.4
Growth 5yr High Est,0.595744680851064
Growth 5yr Consensus Est,0.097872340425532
Growth 5yr Actual/Est,10.284883720930232
Growth 3yr Historic,0.0
Price/Earnings (TTM),36.93761
Price/Sales (TTM),2.07282
Price/Book (MRQ),14.385
Price/Cash Flow (TTM),25.77617
5yr Low,13.78
5yr High,32.9
5yr Avg Return,-0.03445
Short Int Current Month,5107395.0
Short Int Prev Month,5643680.0
Short Int Pct of Float,0.0966677
Days to Cover,5.28032
Float,52.83212
Shares Outstanding,110.1856
Institutions Holding Shares,172.0
FCF Growth 5yr,1.075883508743591
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",36.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9070999999999999
Operating Profit Margin (TTM),0.10310000000000001
Net Profit Margin (TTM),0.069
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6239
EPS Growth (TTM),2.4116
Revenue Growth (MRQ),-0.0541
Revenue Growth (TTM),0.4391
Return On Equity (TTM),0.3821
Return On Assets (TTM),0.10779999999999999
Return On Investment (TTM),0.1386
Revenue Per Employee (TTM),795050.0
Total Debt/Total Capital (MRQ),0.8025
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.0
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-16 00:00:00
theStreet since,2022-08-16 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
