,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.9,26.21,,,,,
low,19.32,13.78,,,,,
change,0.247,-0.3159,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,255.0,745.0,700.0,483.0,Balance Sheet
Short Term Investments,,,,,,187.0,Balance Sheet
Cash and Short Term Invs,,,255.0,745.0,700.0,670.0,Balance Sheet
"Trade Accts Recvble, Gross",,,45.0,55.0,55.0,51.0,Balance Sheet
Prov. for Doubtful Accts,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,42.0,52.0,52.0,48.0,Balance Sheet
Prepaid Expenses,,,10.0,11.0,13.0,11.0,Balance Sheet
"Other Curr. Assets, Total",,,5.0,5.0,5.0,5.0,Balance Sheet
Total Current Assets,,,311.0,812.0,770.0,733.0,Balance Sheet
Prop./Plant/Equip. - Net,,,27.0,25.0,23.0,22.0,Balance Sheet
"Goodwill, Net",,,2.0,2.0,2.0,2.0,Balance Sheet
Intangibles - Net,,,14.0,14.0,15.0,15.0,Balance Sheet
Deferred Charges,,,4.0,4.0,4.0,5.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,38.0,43.0,43.0,41.0,Balance Sheet
Other Long Term Assets,,,3.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,399.0,902.0,858.0,818.0,Balance Sheet
Accounts Payable,,,25.0,22.0,25.0,14.0,Balance Sheet
Accrued Expenses,,,92.0,84.0,90.0,87.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,23.0,25.0,25.0,24.0,Balance Sheet
Other Current Liabilities,,,2.0,6.0,8.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,26.0,31.0,33.0,27.0,Balance Sheet
Total Current Liabilities,,,143.0,138.0,148.0,128.0,Balance Sheet
Total Long Term Debt,,,0.0,541.0,541.0,541.0,Balance Sheet
Total Debt,,,0.0,541.0,541.0,541.0,Balance Sheet
"Other Liabilities, Total",,,21.0,20.0,19.0,16.0,Balance Sheet
Total Liabilities,,,164.0,698.0,709.0,685.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,Balance Sheet
